tipnames	collection_regionname	collection_countryname	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_13370693|anseriformes|isle_of_man|2_1_1_1_1_1_1_1|2022-01-14	northern europe	isle of man	anseriformes-wild	54.2274459818122	-4.5394736212416
H5N1|2344b|EPI_ISL_13370695|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-20	northern europe	united kingdom	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13370698|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-26	northern europe	united kingdom	anseriformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13370897|anseriformes|jersey|2_1_1_1_1_1_1_1|2022-02-22	northern europe	jersey	anseriformes-wild	49.2138286332854	-2.13245261248515
H5N1|2344b|EPI_ISL_13370925|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-05-05	northern europe	united kingdom	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13432764|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-31	northern america	united states	galliformes-domestic	42.9963520424722	-107.550931583206
H5N1|2344b|EPI_ISL_13432788|galliformes|united_states|2_1_1_1_1_1_1_1|2022-04-04	northern america	united states	galliformes-domestic	45.3675354819537	-69.2414491669595
H5N1|2344b|EPI_ISL_13453565|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-03-17	northern europe	united kingdom	other-bird	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13453570|charadriiformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-29	northern europe	united kingdom	charadriiformes-wild	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13453571|suliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-05-10	northern europe	united kingdom	other-bird	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13486881|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-04	northern europe	united kingdom	anseriformes-wild	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13486962|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-02-25	northern europe	united kingdom	other-bird	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13969426|suliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-06-18	northern europe	united kingdom	other-bird	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13969428|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-14	northern europe	united kingdom	anseriformes-wild	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13969430|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-10	northern europe	united kingdom	anseriformes-wild	52.3299411115892	-3.76558183366802
H5N1|2344b|EPI_ISL_14064697|passeriformes|japan|2_1_1_1_1_1_1_1|2022-01-20	eastern asia	japan	other-bird	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_14064698|passeriformes|japan|2_1_1_1_1_1_1_1|2022-02-03	eastern asia	japan	other-bird	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_14064768|passeriformes|japan|2_1_1_1_1_1_1_1|2022-02-08	eastern asia	japan	other-bird	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_14070455|carnivora|japan|2_1_1_1_1_1_1_1|2022-04-01	eastern asia	japan	mammal	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_14098919|carnivora|united_states|2_1_1_1_1_1_1_1|2022-06-27	northern america	united states	mammal	45.3675354819537	-69.2414491669595
H5N1|2344b|EPI_ISL_14098921|carnivora|united_states|2_1_1_1_1_1_1_1|2022-06-29	northern america	united states	mammal	45.3675354819537	-69.2414491669595
H5N1|2344b|EPI_ISL_14497837|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-07-26	northern europe	united kingdom	anseriformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_14542488|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-04-09	southern africa	south africa	galliformes-domestic	-26.1053974962555	28.126943330491
H5N1|2344b|EPI_ISL_14542530|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-04-19	southern africa	south africa	galliformes-domestic	-26.2691351203481	25.5243200600828
H5N1|2344b|EPI_ISL_14542831|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-01	southern africa	south africa	galliformes-domestic	-26.1053974962555	28.126943330491
H5N1|2344b|EPI_ISL_14573001|suliformes|germany|2_1_1_1_1_1_1_1|2022-06-16	western europe	germany	other-bird	54.1814850326718	9.81577342948134
H5N1|2344b|EPI_ISL_14573038|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-10	southern africa	south africa	galliformes-domestic	-26.2691351203481	25.5243200600828
H5N1|2344b|EPI_ISL_14573053|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-10	southern africa	south africa	galliformes-domestic	-28.6110435828424	26.8801631625401
H5N1|2344b|EPI_ISL_14638201|charadriiformes|south_africa|2_1_1_1_1_1_1_1|2021-05-20	southern africa	south africa	charadriiformes-wild	-33.016256445291	20.6109109128761
H5N1|2344b|EPI_ISL_14639383|charadriiformes|south_africa|2_1_1_1_1_1_1_1|2021-05-20	southern africa	south africa	charadriiformes-wild	-33.016256445291	20.6109109128761
H5N1|2344b|EPI_ISL_14644592|strigiformes|south_africa|2_1_1_1_1_1_1_1|2021-05-25	southern africa	south africa	other-bird	-33.016256445291	20.6109109128761
H5N1|2344b|EPI_ISL_14702899|suliformes|france|2_1_1_1_1_1_1_1|2022-07-13	western europe	france	other-bird	48.1809640203121	-2.84316283208676
H5N1|2344b|EPI_ISL_14760545|galliformes|italy|2_1_1_1_1_1_1_1|2021-10-30	southern europe	italy	galliformes-domestic	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14760559|NA|italy|2_1_1_1_1_1_1_1|2021-11-08	southern europe	italy	other-bird	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14760575|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-13	southern europe	italy	galliformes-wild	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14760632|galliformes|italy|2_1_1_1_1_1_1_1|2021-11-24	southern europe	italy	galliformes-domestic	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14760737|galliformes|italy|2_1_1_1_1_1_1_1|2021-12-13	southern europe	italy	galliformes-domestic	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14761383|anseriformes|italy|2_1_1_1_1_1_1_1|2022-01-27	southern europe	italy	anseriformes-wild	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14761473|galliformes|italy|2_1_1_1_1_1_1_1|2022-02-22	southern europe	italy	galliformes-domestic	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14761519|galliformes|italy|2_1_1_1_1_1_1_1|2022-03-15	southern europe	italy	galliformes-domestic	42.7080607219025	12.208345049127
H5N1|2344b|EPI_ISL_14769966|galliformes|lesotho|2_1_1_1_1_1_1_1|2021-05-29	southern africa	lesotho	galliformes-domestic	-29.5819622998706	28.2484329985868
H5N1|2344b|EPI_ISL_14769967|galliformes|lesotho|2_1_1_1_1_1_1_1|2021-06-05	southern africa	lesotho	galliformes-domestic	-29.5819622998706	28.2484329985868
H5N1|2344b|EPI_ISL_14810369|cetacea|sweden|2_1_1_1_1_1_1_1|2022-06-29	northern europe	sweden	mammal	58.2955067014075	12.8595382920252
H5N1|2344b|EPI_ISL_14811929|suliformes|sweden|2_1_1_1_1_1_1_1|2022-06-15	northern europe	sweden	other-bird	56.9527544067021	12.8455535105187
H5N1|2344b|EPI_ISL_14871336|galliformes|benin|2_1_1_1_1_1_1_1|2021-08-01	western africa	benin	galliformes-domestic	9.64834530386091	2.33970693359707
H5N1|2344b|EPI_ISL_14871338|galliformes|benin|2_1_1_1_1_1_1_1|2021-09-01	western africa	benin	galliformes-domestic	9.64834530386091	2.33970693359707
H5N1|2344b|EPI_ISL_14918217|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-06-20	southern africa	south africa	galliformes-domestic	-28.7220063412643	30.7367833141436
H5N1|2344b|EPI_ISL_14918305|struthioniformes|south_africa|2_1_1_1_1_1_1_1|2021-06-21	southern africa	south africa	other-bird	-33.016256445291	20.6109109128761
H5N1|2344b|EPI_ISL_14918800|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-06-25	southern africa	south africa	galliformes-domestic	-33.016256445291	20.6109109128761
