tipnames	collection_regionname	collection_countryname	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_1123357|anseriformes|united_kingdom|3_2_3_1_3_2_1_2|2020-11-08	northern europe	united kingdom	anseriformes-wild	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_1139015|NA|netherlands|3_2_3_1_3_2_1_2|2020-10-26	western europe	netherlands	other-bird	53.1100430768808	5.84863928632393
H5N8|2344b|EPI_ISL_1139034|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-07	western europe	netherlands	anseriformes-wild	52.5811544669078	4.87272777813315
H5N8|2344b|EPI_ISL_1139040|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-02	western europe	netherlands	anseriformes-wild	52.8629285667789	6.62382060282334
H5N8|2344b|EPI_ISL_1139086|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-07	western europe	netherlands	anseriformes-wild	51.5616727876811	5.19541346074046
H5N8|2344b|EPI_ISL_1139099|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-13	western europe	netherlands	anseriformes-wild	51.4517197034959	3.83526799798383
H5N8|2344b|EPI_ISL_1139113|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-10	western europe	netherlands	anseriformes-wild	52.083727924893	5.16763788059654
H5N8|2344b|EPI_ISL_1139163|accipitriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-16	western europe	netherlands	other-bird	53.1100430768808	5.84863928632393
H5N8|2344b|EPI_ISL_1139166|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-24	western europe	netherlands	anseriformes-wild	52.4448999895994	6.44900146928843
H5N8|2344b|EPI_ISL_11402307|galliformes|united_kingdom|3_2_3_1_3_2_1_2|2021-02-06	northern europe	united kingdom	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_11406397|galliformes|united_kingdom|3_2_3_1_3_2_1_2|2021-03-28	northern europe	united kingdom	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_11406449|galliformes|united_kingdom|3_2_3_1_3_2_1_2|2021-03-28	northern europe	united kingdom	galliformes-wild	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_1180234|anseriformes|czechia|3_2_3_1_3_2_1_2|2021-01-24	eastern europe	czechia	anseriformes-wild	49.0928166218663	14.4391547985202
H5N8|2344b|EPI_ISL_12176839|galliformes|kosovo|3_2_3_1_3_2_1_2|2021-10-04	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176844|galliformes|kosovo|3_2_3_1_3_2_1_2|2021-10-18	southern europe	kosovo	galliformes-wild	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176846|galliformes|kosovo|3_2_3_1_3_2_1_2|2021-11-03	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176850|galliformes|kosovo|3_2_3_1_3_2_1_2|2022-01-06	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176851|galliformes|kosovo|3_2_3_1_3_2_1_2|2022-01-14	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176853|galliformes|kosovo|3_2_3_1_3_2_1_2|2021-06-14	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176854|galliformes|kosovo|3_2_3_1_3_2_1_2|2022-02-15	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176855|galliformes|kosovo|3_2_3_1_3_2_1_2|2022-03-01	southern europe	kosovo	galliformes-domestic	42.5708562510164	20.8773751977042
H5N8|2344b|EPI_ISL_12176932|galliformes|albania|3_2_3_1_3_2_1_2|2022-03-01	southern europe	albania	galliformes-domestic	41.1330587421492	20.0646630993931
H5N8|2344b|EPI_ISL_1238902|galliformes|sweden|3_2_3_1_3_2_1_2|2021-02-23	northern europe	sweden	galliformes-wild	55.9474024317265	13.595146733816
H5N8|2344b|EPI_ISL_1240717|accipitriformes|sweden|3_2_3_1_3_2_1_2|2021-02-21	northern europe	sweden	other-bird	57.1855292476939	16.1305148015024
H5N8|2344b|EPI_ISL_12437699|anseriformes|czechia|3_2_3_1_3_2_1_2|2021-03-19	eastern europe	czechia	anseriformes-wild	50.3852537596798	15.8661896036913
H5N8|2344b|EPI_ISL_1279262|anseriformes|croatia|3_2_3_1_3_2_1_2|2021-03-01	southern europe	croatia	anseriformes-wild	45.1789051758503	18.8780624838969
H5N8|2344b|EPI_ISL_1295639|galliformes|norway|3_2_3_1_3_2_1_2|2020-11-30	northern europe	norway	galliformes-domestic	63.9836330810339	12.3044196327525
H5N8|2344b|EPI_ISL_1305776|galliformes|sweden|3_2_3_1_3_2_1_2|2021-03-14	northern europe	sweden	galliformes-domestic	57.5128828372686	18.541723046906
H5N8|2344b|EPI_ISL_1307720|accipitriformes|sweden|3_2_3_1_3_2_1_2|2021-03-02	northern europe	sweden	other-bird	57.4990622714119	14.4340296449519
H5N8|2344b|EPI_ISL_13175608|galliformes|sweden|3_2_3_1_3_2_1_2|2021-02-23	northern europe	sweden	galliformes-domestic	57.5128828372686	18.541723046906
H5N8|2344b|EPI_ISL_13369742|anseriformes|united_kingdom|3_2_3_1_3_2_1_2|2021-11-07	northern europe	united kingdom	anseriformes-wild	54.0438440515314	-2.78687513666638
