tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon
H5N1.EPI_ISL_17606833.Galliformes.south_korea.22.2021-12-17	H5N1	Galliformes_wild	Galliformes	eastern asia	44.4957481	11.2946868
H5N1.EPI_ISL_18373222.Anseriformes.south_korea.NA.2021-12-06	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_16831015.Anseriformes.japan.NA.2022-01-27	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.204824	138.252924
H5N1.EPI_ISL_6959593.Galliformes.south_korea.22.2021-11-08	H5N1	Galliformes_wild	Galliformes	eastern asia	36.8	127.7
H5N1.EPI_ISL_18373248.Anseriformes.south_korea.NA.2022-02-28	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_18373247.Gruiformes.south_korea.NA.2022-02-25	H5N1	Gruiformes_wild	Gruiformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_17606819.Anseriformes.south_korea.22.2021-11-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.8	127.7
H5N1.EPI_ISL_17606816.Anseriformes.south_korea.22.2021-11-15	H5N1	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868
H5N1.EPI_ISL_17606825.Galliformes.south_korea.22.2021-12-04	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8
H5N1.EPI_ISL_17606835.Galliformes.south_korea.22.2021-12-23	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.487002	127.282234
H5N1.EPI_ISL_china_2023089.Anseriformes.china.22.2021-11-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_18245816.Anseriformes.poland.NA.2022-04-07	H5N1	Anseriformes_wild	Anseriformes	eastern europe	51.919438	19.145136
H5N8.EPI_ISL_7624142.Galliformes.belgium.1.2021-09-09	H5N8	Galliformes_domestic	Galliformes	western europe	49.6100036	6.12959599999999
H5N8.EPI_ISL_1114736.Galliformes.russia.1.2020-09-26	H5N8	Galliformes_domestic	Galliformes	eastern asia	49.5884314	117.4794621
H5N8.EPI_ISL_739686.Galliformes.kazakhstan.1.2020-09-18	H5N8	Galliformes_domestic	Galliformes	central asia	53.2804	69.3762
H5N8.EPI_ISL_1095453.Galliformes.sweden.1.2020-11-17	H5N8	Galliformes_domestic	Galliformes	northern europe	55.9902572	13.5957691999999
H5N8.EPI_ISL_14822757.Charadriiformes.china.NA.2021-05-24	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_2574053.Strigiformes.sweden.168.2021-04-06	H5N8	Strigiformes_wild	Strigiformes	northern europe	55.9902572	13.5957691999999
H5N5.EPI_ISL_1305778.Anseriformes.sweden.36.2021-03-10	H5N5	Anseriformes_wild	Anseriformes	northern europe	55.9902572	13.5957691999999
H5N5.EPI_ISL_1238195.Galliformes.sweden.36.2021-03-02	H5N5	Galliformes_domestic	Galliformes	northern europe	55.9902572	13.5957691999999
H5N5.EPI_ISL_1391276.Accipitriformes.sweden.36.2021-02-19	H5N5	Accipitriformes_wild	Accipitriformes	northern europe	55.9902572	13.5957691999999
H5N5.EPI_ISL_1219038.Galliformes.sweden.36.2021-02-24	H5N5	Galliformes_domestic	Galliformes	northern europe	55.9902572	13.5957691999999
H5N5.EPI_ISL_3143954.Anseriformes.sweden.36.2021-07-06	H5N5	Anseriformes_wild	Anseriformes	northern europe	57.0942447	16.5435605
H5N8.EPI_ISL_615068.Anseriformes.kazakhstan.1.2020-09-20	H5N8	Anseriformes_domestic	Anseriformes	central asia	51.2105	71.4676
H5N3.EPI_ISL_2234808.Charadriiformes.ireland.64.2021-01-01	H5N3	Charadriiformes_wild	Charadriiformes	northern europe	53.41291	-8.24388999999996
H5N8.EPI_ISL_1114749.Galliformes.russia.1.2020-12-11	H5N8	Galliformes_domestic	Galliformes	eastern europe	45.0391312	41.982139599999996
H5N8.EPI_ISL_3128534.Galliformes.albania.1.2021-06-04	H5N8	Galliformes_domestic	Galliformes	southern europe	41.153332	20.168331
H5N3.EPI_ISL_1205489.Charadriiformes.germany.64.2020-12-16	H5N3	Charadriiformes_wild	Charadriiformes	western europe	54.2193672	9.69611669999995
H5N8.EPI_ISL_2932614.Anseriformes.kazakhstan.1.2020-09-21	H5N8	Anseriformes_wild	Anseriformes	central asia	53.2804	69.3762
H5N8.EPI_ISL_3127850.Anseriformes.sweden.1.2021-03-29	H5N8	Anseriformes_wild	Anseriformes	northern europe	61.0917012	14.6663653000001
H5N8.EPI_ISL_2254497.Passeriformes.sweden.1.2021-03-16	H5N8	Passeriformes_wild	Passeriformes	northern europe	57.649684	18.714468
H5N8.EPI_ISL_1305775.Galliformes.sweden.1.2021-03-14	H5N8	Galliformes_domestic	Galliformes	northern europe	57.649684	18.714468
H5N8.EPI_ISL_1303550.Galliformes.sweden.1.2021-03-13	H5N8	Galliformes_domestic	Galliformes	northern europe	57.649684	18.714468
H5N8.EPI_ISL_644130.Anseriformes.russia.1.2020-08-17	H5N8	Anseriformes_wild	Anseriformes	central asia	54.9885	73.3242
H5N8.EPI_ISL_7622619.Anseriformes.belgium.1.2020-12-03	H5N8	Anseriformes_wild	Anseriformes	western europe	51.30054	3.15300000000002
H5N8.EPI_ISL_5116093.Galliformes.germany.1.2021-03-05	H5N8	Galliformes_domestic	Galliformes	western europe	51.1045407	13.2017384000001
H5N8.EPI_ISL_5099373.Galliformes.germany.1.2021-02-22	H5N8	Galliformes_domestic	Galliformes	western europe	53.6126505	12.4295953
H5N8.EPI_ISL_654839.Anseriformes.russia.1.2020-08-27	H5N8	Anseriformes_wild	Anseriformes	central asia	55.4312	65.3549
H5N8.EPI_ISL_654824.Anseriformes.russia.1.2020-09-15	H5N8	Anseriformes_wild	Anseriformes	eastern europe	51.652	46.8634
H5N8.EPI_ISL_654821.Galliformes.russia.1.2020-09-15	H5N8	Galliformes_domestic	Galliformes	eastern europe	51.652	46.8634
H5N8.EPI_ISL_615072.Anseriformes.kazakhstan.1.2020-09-25	H5N8	Anseriformes_domestic	Anseriformes	central asia	53.2147	63.6305
H5N5.EPI_ISL_12028892.Accipitriformes.norway.NA.2022-02-24	H5N5	Accipitriformes_wild	Accipitriformes	northern europe	60.472024	8.46894599999996
H5N8.EPI_ISL_615073.Anseriformes.kazakhstan.1.2020-09-19	H5N8	Anseriformes_domestic	Anseriformes	central asia	53.2804	69.3762
H5N8.EPI_ISL_2932619.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	51.2105	71.4676
H5N8.EPI_ISL_625672.Anseriformes.china.1.2020-10-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	38.852843	105.7008601
H5N8.EPI_ISL_5260459.Anseriformes.china.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_1098830.Gruiformes.japan.1.2021-01-19	H5N8	Gruiformes_wild	Gruiformes	eastern asia	31.5965535	130.5571158
H5N8.EPI_ISL_5260456.Anseriformes.china.1.2021-02-22	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_1041133.Galliformes.japan.1.2021-02-08	H5N8	Galliformes_domestic	Galliformes	eastern asia	34.0702703	134.5548438
H5N8.EPI_ISL_17805905.Anseriformes.japan.1.2021-01-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.204824	138.252924
H5N8.EPI_ISL_1114738.Galliformes.russia.1.2020-10-17	H5N8	Galliformes_domestic	Galliformes	eastern europe	36.891328	27.283453
H5N8.EPI_ISL_16208969.Anseriformes.china.NA.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.230393	121.473704
H5N8.EPI_ISL_5260445.Anseriformes.china.1.2021-04-27	H5N8	Anseriformes_wild	Anseriformes	eastern asia	38.3905141	114.8555706
H5N8.EPI_ISL_985184.Anseriformes.south_korea.1.2020-12-08	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991
H5N8.EPI_ISL_1009687.Galliformes.south_korea.1.2020-12-31	H5N8	Galliformes_wild	Galliformes	eastern asia	36.4919	128.8889
H5N8.EPI_ISL_16215736.Galliformes.china.1.2020-12	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.86166	104.195397
H5N8.EPI_ISL_1009686.Galliformes.south_korea.1.2020-12-31	H5N8	Galliformes_domestic	Galliformes	eastern asia	44.4957481	11.2946868
H5N8.EPI_ISL_977599.Anseriformes.china.1.2020-12-21	H5N8	Anseriformes_wild	Anseriformes	eastern asia	39.904214	116.407413
H5N8.EPI_ISL_14823549.Anseriformes.china.1.2020-11-05	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_5260422.Anseriformes.china.1.2021-02-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126
H5N8.EPI_ISL_1009709.NA.south_korea.1.2020-12-16	H5N8	unknown	NA	eastern asia	33.3846	126.5535
H5N8.EPI_ISL_2555536.Charadriiformes.china.1.2020-11-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	30.9894798	112.8721355
H5N8.EPI_ISL_1760453.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965
H5N8.EPI_ISL_5260452.Anseriformes.china.1.2021-01-20	H5N8	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139
H5N8.EPI_ISL_985194.Anseriformes.south_korea.1.2020-12-14	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8
H5N8.EPI_ISL_2685947.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N8.EPI_ISL_17086341.environment.japan.NA.2021-02-09	H5N8	unknown	environment	eastern asia	34.0702703	134.5548438
H5N8.EPI_ISL_14770165.Gruiformes.china.1.2020-12-31	H5N8	Gruiformes_wild	Gruiformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_985206.Galliformes.south_korea.1.2020-12-25	H5N8	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8
H5N8.EPI_ISL_1760450.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.223126	108.95546
H5N8.EPI_ISL_14822356.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827
H5N8.EPI_ISL_985197.Anseriformes.south_korea.1.2020-12-20	H5N8	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868
H5N8.EPI_ISL_1009710.Anseriformes.south_korea.1.2020-11-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	33.3846	126.5535
H5N8.EPI_ISL_1760452.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965
H5N6.EPI_ISL_china_1.Galliformes.china.314.2022-02-28	H5N6	Galliformes_domestic	Galliformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_668457.Anseriformes.sweden.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	northern europe	55.9902572	13.5957691999999
H5N8.EPI_ISL_710508.Anseriformes.united_kingdom.1.2020-10-30	H5N8	Anseriformes_wild	Anseriformes	northern europe	52.0190289	-0.770427400000017
