tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon
H5N8.EPI_ISL_1009694.Anseriformes.south_korea.1.2021-01-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.4606	128.2132
H5N8.EPI_ISL_1938307.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_7349517.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793
H5N8.EPI_ISL_7381065.Anseriformes.china.1.2021-03	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_17088884.Anseriformes.china.1.2021-01-29	H5N8	Anseriformes_wild	Anseriformes	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_6760687.Anseriformes.china.126.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_7457654.Galliformes.china.209.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	23.2600355	113.25139
H5N8.EPI_ISL_7379509.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_3090099.Primates.china.61.2021-07-03	H5N6	Primates_wild	Primates	eastern asia	30.632278	104.086793
H5N8.EPI_ISL_5260458.Anseriformes.china.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933
H5N6.EPI_ISL_6914131.Galliformes.china.61.2021-06-10	H5N6	Galliformes_domestic	Galliformes	eastern asia	29.56301	106.551557
H5N6.EPI_ISL_11208198.Anseriformes.china.61.2021-11-02	H5N6	Anseriformes_wild	Anseriformes	eastern asia	24.9494565	103.9504529
H5N8.EPI_ISL_5260465.Pelecaniformes.china.1.2021-01-26	H5N8	Pelecaniformes_wild	Pelecaniformes	eastern asia	32.0922799	118.6126374
H5N8.EPI_ISL_5260469.Anseriformes.china.1.2021-01-26	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.0922799	118.6126374
H5N8.EPI_ISL_15430209.Anseriformes.china.1.2021-01-15	H5N8	Anseriformes_wild	Anseriformes	eastern asia	24.9494565	103.9504529
H5N8.EPI_ISL_15435500.Anseriformes.china.1.2021-01-21	H5N8	Anseriformes_wild	Anseriformes	eastern asia	24.9494565	103.9504529
H5N8.EPI_ISL_5260416.Charadriiformes.china.1.2021-02-22	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_1009708.Anseriformes.south_korea.1.2020-12-15	H5N8	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868
H5N6.EPI_ISL_7983813.Primates.china.73.2021-12-22	H5N6	Primates_wild	Primates	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_8518268.Galliformes.china.73.2021-12-23	H5N6	Galliformes_domestic	Galliformes	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_11208199.Anseriformes.china.73.2021-12-03	H5N6	Anseriformes_wild	Anseriformes	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_8517996.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_8517999.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_6757629.Anseriformes.china.290.2021-03	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_16208999.Primates.china.126.2021-09-19	H5N6	Primates_wild	Primates	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_11208196.Anseriformes.china.126.2021-12-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643
H5N6.EPI_ISL_15613574.NA.china.NA.2021-08-19	H5N6	unknown	NA	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_11208200.Anseriformes.china.126.2021-12-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_6772898.Anseriformes.china.209.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_16466440.Primates.china.126.2022-11-11	H5N6	Primates_wild	Primates	eastern asia	27.2498042	113.6176643
H5N8.EPI_ISL_1114756.Galliformes.russia.1.2021-01-29	H5N8	Galliformes_domestic	Galliformes	eastern europe	47.2357	39.7015
H5N8.EPI_ISL_1114757.Galliformes.russia.1.2021-01-29	H5N8	Galliformes_domestic	Galliformes	eastern europe	47.2357	39.7015
H5N8.EPI_ISL_5260449.Anseriformes.china.1.2021-03-24	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.0922799	118.6126374
H5N8.EPI_ISL_18012466.Galliformes.china.NA.2021-11-09	H5N8	Galliformes_wild	Galliformes	eastern asia	38.3905141	114.8555706
H5N8.EPI_ISL_8215685.Anseriformes.china.NA.2021-05-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_8215658.Anseriformes.china.NA.2021-05-15	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_8215687.Charadriiformes.china.NA.2021-05-17	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_985196.Anseriformes.south_korea.1.2020-12-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991
H5N8.EPI_ISL_985211.Anseriformes.south_korea.1.2020-12-28	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244
H5N8.EPI_ISL_14775517.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	38.3905141	114.8555706
H5N1.EPI_ISL_12572652.Galliformes.china.110.2022-03-03	H5N1	Galliformes_domestic	Galliformes	eastern asia	31.844419	117.254331
H5N1.EPI_ISL_12572660.Anseriformes.china.110.2021-12-08	H5N1	Anseriformes_wild	Anseriformes	eastern asia	29.1557051	113.7157613
H5N1.EPI_ISL_12572663.Columbiformes.china.110.2021-12-08	H5N1	Columbiformes_wild	Columbiformes	eastern asia	29.1557051	113.7157613
H5N1.EPI_ISL_12572658.Anseriformes.china.110.2022-01-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_12572653.Galliformes.china.110.2021-12-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	29.1557051	113.7157613
H5N1.EPI_ISL_12572657.Anseriformes.china.110.2021-11-27	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N8.EPI_ISL_1009685.Anseriformes.south_korea.1.2020-12-30	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244
H5N8.EPI_ISL_1009689.Galliformes.south_korea.1.2021-01-03	H5N8	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8
H5N8.EPI_ISL_7381115.Anseriformes.china.1.2021-06	H5N8	Anseriformes_wild	Anseriformes	eastern asia	41.7315285	123.2575966
H5N6.EPI_ISL_6760684.Anseriformes.china.61.2021-07	H5N6	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793
H5N8.EPI_ISL_14835968.Anseriformes.china.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_985205.Anseriformes.south_korea.1.2020-12-24	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8
H5N8.EPI_ISL_985230.Galliformes.japan.1.2021-02-06	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411
H5N8.EPI_ISL_978902.Galliformes.japan.1.2021-01-30	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411
H5N8.EPI_ISL_1009683.Anseriformes.south_korea.1.2020-12-29	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991
H5N8.EPI_ISL_978903.Galliformes.japan.1.2021-01-30	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411
H5N8.EPI_ISL_1009693.Galliformes.south_korea.1.2021-01-08	H5N8	Galliformes_domestic	Galliformes	eastern asia	44.4957481	11.2946868
H5N8.EPI_ISL_1009692.Anseriformes.south_korea.1.2021-01-05	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.8	127.7
H5N8.EPI_ISL_1009691.Anseriformes.south_korea.1.2021-01-04	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244
H5N8.EPI_ISL_14749142.environment.japan.NA.2021-12-01	H5N8	unknown	environment	eastern asia	35.5011326	134.2350914
H5N8.EPI_ISL_15063428.environment.japan.NA.2021-11-10	H5N8	unknown	environment	eastern asia	39.7200079	140.1025642
H5N8.EPI_ISL_1937892.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_2685900.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N8.EPI_ISL_1760446.Anseriformes.china.1.2020-11-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.223126	108.95546
H5N6.EPI_ISL_11208197.Anseriformes.china.73.2021-12-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643
H5N5.EPI_ISL_2234824.Anseriformes.romania.44.2021-01-22	H5N5	Anseriformes_wild	Anseriformes	eastern europe	45.943161	24.96676
H5N5.EPI_ISL_2234823.Anseriformes.romania.44.2021-01-14	H5N5	Anseriformes_wild	Anseriformes	eastern europe	45.943161	24.96676
H5N8.EPI_ISL_5865629.Anseriformes.georgia.1.2020-10-16	H5N8	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892
H5N3.EPI_ISL_5863749.Anseriformes.georgia.289.2020-10-20	H5N3	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892
H5N8.EPI_ISL_1114753.Anseriformes.netherlands.1.2020-12-31	H5N8	Anseriformes_wild	Anseriformes	western europe	51.4826537	5.23216869999999
H5N8.EPI_ISL_3128523.Pelecaniformes.greece.1.2021-03-22	H5N8	Pelecaniformes_wild	Pelecaniformes	southern europe	41.08831	23.542815
H5N8.EPI_ISL_1665263.Anseriformes.slovenia.1.2020-11-17	H5N8	Anseriformes_wild	Anseriformes	southern europe	46.151241	14.995463
H5N8.EPI_ISL_683751.Anseriformes.italy.1.2020-11-21	H5N8	Anseriformes_wild	Anseriformes	southern europe	45.7223889	11.3879145
H5N8.EPI_ISL_683752.Anseriformes.italy.NA.2020-11-21	H5N8	Anseriformes_wild	Anseriformes	southern europe	41.87194	12.56738
H5N8.EPI_ISL_6829497.Gruiformes.japan.1.2021-11-19	H5N8	Gruiformes_wild	Gruiformes	eastern asia	31.5965535	130.5571158
H5N8.EPI_ISL_6829536.Galliformes.japan.1.2021-11-14	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.5965535	130.5571158
H5N8.EPI_ISL_15063430.Galliformes.japan.NA.2021-11-15	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.5965535	130.5571158
H5N8.EPI_ISL_2932616.Galliformes.kazakhstan.1.2020-09-19	H5N8	Galliformes_domestic	Galliformes	central asia	53.2804	69.3762
H5N8.EPI_ISL_1185026.Galliformes.russia.1.2020-12-07	H5N8	Galliformes_domestic	Galliformes	eastern europe	47.1217888	47.3494879
H5N8.EPI_ISL_1038924.Primates.russia.1.2020-12-12	H5N8	Primates_wild	Primates	eastern europe	47.1217888	47.3494879
H5N8.EPI_ISL_644127.Anseriformes.russia.1.2020-08-17	H5N8	Anseriformes_wild	Anseriformes	central asia	54.9885	73.3242
H5N8.EPI_ISL_644126.Galliformes.russia.1.2020-08-17	H5N8	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242
H5N5.EPI_ISL_16209274.Pelecaniformes.russia.44.2021-04-01	H5N5	Pelecaniformes_wild	Pelecaniformes	eastern europe	42.4411	47.2776
H5N8.EPI_ISL_1039236.Galliformes.russia.1.2020-12-12	H5N8	Galliformes_domestic	Galliformes	eastern europe	47.1217888	47.3494879
H5N8.EPI_ISL_7623511.Galliformes.belgium.1.2021-06-04	H5N8	Galliformes_domestic	Galliformes	western europe	50.4804432	4.35818659999995
H5N1.EPI_ISL_11211731.Anseriformes.bangladesh.19.2021-12-22	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331
H5N1.EPI_ISL_13243350.Anseriformes.bangladesh.19.2022-03-09	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331
H5N1.EPI_ISL_13243696.Anseriformes.bangladesh.NA.2021-12-22	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331
H5N1.EPI_ISL_11633709.Anseriformes.china.19.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_11633707.Anseriformes.china.NA.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_china_2023081.Anseriformes.china.19.2021-11-19	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_china_20230828.Anseriformes.china.19.2021-11-22	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_17075747.Primates.china.19.2023-02-10	H5N1	Primates_wild	Primates	eastern asia	32.0922799	118.6126374
H5N1.EPI_ISL_13618384.Anseriformes.israel.NA.2021-11-18	H5N1	Anseriformes_wild	Anseriformes	western asia	31.046051	34.8516119999999
H5N1.EPI_ISL_18066452.Anseriformes.japan.NA.2023-02-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.2590428	140.8307874
H5N1.EPI_ISL_12572662.Anseriformes.china.19.2022-01-05	H5N1	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643
H5N1.EPI_ISL_18130247.Passeriformes.japan.NA.2023-01-05	H5N1	Passeriformes_wild	Passeriformes	eastern asia	35.8617292	139.6454822
H5N1.EPI_ISL_15944667.Anseriformes.south_korea.128.2022-11-21	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_18284467.Anseriformes.japan.NA.2022-11-11	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.2305113	135.1708083
H5N1.EPI_ISL_15647834.Anseriformes.south_korea.19.2022-10-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_china_20230843.Anseriformes.china.19.2021-11-25	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.852843	105.7008601
H5N1.EPI_ISL_17949987.Anseriformes.japan.80.2022-11-26	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.6959518	137.2136768
H5N1.EPI_ISL_china_20230850.Anseriformes.china.19.2021-12-03	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N1.EPI_ISL_13352718.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N1.EPI_ISL_13352716.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965
H5N1.EPI_ISL_china_20230854.Suliformes.china.19.2021-12-01	H5N1	Suliformes_wild	Suliformes	eastern asia	31.844419	117.254331
H5N1.EPI_ISL_15647837.Anseriformes.south_korea.19.2022-02-05	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_17606854.Galliformes.south_korea.19.2022-02-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	35.7197	127.1244
H5N1.EPI_ISL_18102701.Carnivora.south_korea.NA.2023-07-04	H5N1	Carnivora_wild	Carnivora	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_15647836.Anseriformes.south_korea.80.2022-10-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_17414669.Falconiformes.china.NA.2022-10-09	H5N1	Falconiformes_wild	Falconiformes	eastern asia	39.904214	116.407413
H5N1.EPI_ISL_15943015.NA.south_korea.128.2022-11-07	H5N1	unknown	NA	eastern asia	36.5184	126.8
H5N1.EPI_ISL_18241794.Anseriformes.viet_nam.NA.2023-06-05	H5N1	Anseriformes_wild	Anseriformes	south-eastern asia	14.058324	108.277199
H5N1.EPI_ISL_18373238.Anseriformes.south_korea.NA.2022-02-07	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_18241796.Galliformes.viet_nam.NA.2023-09-05	H5N1	Galliformes_domestic	Galliformes	south-eastern asia	14.058324	108.277199
H5N1.EPI_ISL_18066456.Passeriformes.japan.NA.2023-02-20	H5N1	Passeriformes_wild	Passeriformes	eastern asia	36.3813638	139.7303175
H5N1.EPI_ISL_15944663.Anseriformes.south_korea.128.2022-11-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922
H5N1.EPI_ISL_china_18.NA.china.80.2023-01-01	H5N1	unknown	NA	eastern asia	29.9488786	121.1430935
H5N1.EPI_ISL_16388458.Anseriformes.japan.80.2022-11-23	H5N1	Anseriformes_wild	Anseriformes	eastern asia	39.7200079	140.1025642
H5N1.EPI_ISL_17527090.Passeriformes.japan.NA.2022-12-26	H5N1	Passeriformes_wild	Passeriformes	eastern asia	36.204824	138.252924
H5N1.EPI_ISL_18284470.Galliformes.japan.NA.2022-11-20	H5N1	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411
H5N1.EPI_ISL_18284465.Galliformes.japan.NA.2022-11-01	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604
H5N1.EPI_ISL_17949961.Passeriformes.japan.80.2023-03-10	H5N1	Passeriformes_wild	Passeriformes	eastern asia	35.4769011	139.6294307
H5N1.EPI_ISL_15943002.Anseriformes.south_korea.128.2022-11-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8
H5N1.EPI_ISL_17606851.Galliformes.south_korea.19.2022-02-06	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8
H5N1.EPI_ISL_17606863.Anseriformes.south_korea.19.2022-03-02	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991
H5N1.EPI_ISL_china_29.Podicipediformes.china.19.2022-07-15	H5N1	Podicipediformes_wild	Podicipediformes	eastern asia	36.085841	120.3403854
H5N1.EPI_ISL_china_38.Anseriformes.china.19.2022-06-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.085841	120.3403854
H5N1.EPI_ISL_china_35.Anseriformes.china.19.2022-06-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.085841	120.3403854
H5N1.EPI_ISL_china_41.Charadriiformes.china.19.2022-07-22	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	36.085841	120.3403854
H5N1.EPI_ISL_china_40.Podicipediformes.china.19.2022-07-21	H5N1	Podicipediformes_wild	Podicipediformes	eastern asia	36.085841	120.3403854
H5N1.EPI_ISL_china_36.Anseriformes.china.19.2022-06-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.085841	120.3403854
H5N1.EPI_ISL_17638143.Galliformes.japan.80.2023-04-02	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143
H5N1.EPI_ISL_17949986.Passeriformes.japan.80.2023-02-07	H5N1	Passeriformes_wild	Passeriformes	eastern asia	37.9161924	139.0364126
H5N1.EPI_ISL_17606861.Anseriformes.south_korea.19.2022-02-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8
H5N1.EPI_ISL_china_2023082.Anseriformes.china.19.2021-11-04	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_china_2023084.Anseriformes.china.19.2021-11-04	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_18284474.Anseriformes.japan.NA.2022-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.6551456	133.9195019
H5N1.EPI_ISL_18219237.Anseriformes.france.NA.2022-02-03	H5N1	Anseriformes_wild	Anseriformes	western europe	46.227638	2.21374900000001
H5N1.EPI_ISL_11330431.Accipitriformes.japan.2.2022-01-02	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	44	143
H5N2.EPI_ISL_15732741.Passeriformes.japan.297.2022-10-28	H5N2	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_17051464.Anseriformes.canada.NA.2022-12-19	H5N1	Anseriformes_wild	Anseriformes	northern america	53.7266683	-127.6476206
H5N1.EPI_ISL_16831026.Anseriformes.japan.NA.2022-02-08	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.204824	138.252924
H5N1.EPI_ISL_14065167.Accipitriformes.japan.2.2022-02-10	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	44	143
H5N1.EPI_ISL_18284462.Galliformes.japan.NA.2022-11-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143
H5N2.EPI_ISL_18284476.Galliformes.japan.NA.2023-01-17	H5N2	Galliformes_domestic	Galliformes	eastern asia	33.2395578	131.609272
H5N1.EPI_ISL_17999470.Falconiformes.japan.NA.2022-10-16	H5N1	Falconiformes_wild	Falconiformes	eastern asia	37.9161924	139.0364126
H5N1.EPI_ISL_15576616.Anseriformes.japan.2.2022-10-04	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.2590428	140.8307874
H5N1.EPI_ISL_16831328.Casuariiformes.japan.NA.2022-04-16	H5N1	Casuariiformes_wild	Casuariiformes	eastern asia	36.204824	138.252924
H5N1.EPI_ISL_14064698.Passeriformes.japan.2.2022-02-03	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_16831310.Galliformes.japan.NA.2022-02-12	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.204824	138.252924
H5N1.EPI_ISL_16698576.Gruiformes.japan.2.2022-11-20	H5N1	Gruiformes_wild	Gruiformes	eastern asia	44	143
H5N1.EPI_ISL_17051482.Anseriformes.canada.2.2023-01-16	H5N1	Anseriformes_wild	Anseriformes	northern america	53.7266683	-127.6476206
H5N1.EPI_ISL_17267420.Galliformes.japan.2.2022-11-06	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143
H5N1.EPI_ISL_15072539.Casuariiformes.japan.2.2022-04-16	H5N1	Casuariiformes_wild	Casuariiformes	eastern asia	44	143
H5N1.EPI_ISL_16831241.Passeriformes.japan.NA.2022-04-28	H5N1	Passeriformes_wild	Passeriformes	eastern asia	36.204824	138.252924
H5N1.EPI_ISL_12174842.Carnivora.japan.2.2022-03-31	H5N1	Carnivora_wild	Carnivora	eastern asia	44	143
H5N1.EPI_ISL_16698060.Galliformes.japan.15.2022-11-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143
H5N1.EPI_ISL_18284461.Galliformes.japan.NA.2022-10-28	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143
H5N1.EPI_ISL_16698546.Accipitriformes.japan.2.2022-10-21	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	37.9161924	139.0364126
H5N1.EPI_ISL_17317372.Passeriformes.japan.15.2022-12-18	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_14064803.Passeriformes.japan.2.2022-02-07	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_15072538.Galliformes.japan.2.2022-04-16	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143
H5N1.EPI_ISL_16698579.Charadriiformes.japan.2.2022-11-06	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	44	143
H5N1.EPI_ISL_16955765.Passeriformes.japan.2.2022-12-05	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_18007229.Passeriformes.japan.NA.2023-04-17	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_16955798.Charadriiformes.japan.2.2022-11-16	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	44	143
H5N1.EPI_ISL_17950253.Passeriformes.japan.2.2023-03-30	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_17316075.Passeriformes.japan.15.2023-02-04	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_18007230.Passeriformes.japan.NA.2023-04-18	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143
H5N1.EPI_ISL_18066451.Anseriformes.japan.NA.2023-02-09	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.3813638	139.7303175
H5N1.EPI_ISL_18066453.Passeriformes.japan.NA.2023-02-17	H5N1	Passeriformes_wild	Passeriformes	eastern asia	33.5903547	130.4017155
H5N1.EPI_ISL_17857959.Carnivora.japan.NA.2023-02-20	H5N1	Carnivora_wild	Carnivora	eastern asia	44	143
H5N1.EPI_ISL_17766057.Carnivora.japan.15.2023-04-12	H5N1	Carnivora_wild	Carnivora	eastern asia	44	143
H5N1.EPI_ISL_china_20230820.Anseriformes.china.2.2021-11-16	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N1.EPI_ISL_china_20230832.Anseriformes.china.2.2021-10-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827
H5N1.EPI_ISL_12572664.Anseriformes.china.2.2021-11-25	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.3905141	114.8555706
H5N1.EPI_ISL_11922822.Anseriformes.romania.2.2022-03-07	H5N1	Anseriformes_wild	Anseriformes	eastern europe	45.943161	24.96676
H5N1.EPI_ISL_16838580.Pelecaniformes.russia.2.2021-06-29	H5N1	Pelecaniformes_wild	Pelecaniformes	eastern europe	61.52401	105.318756
H5N1.EPI_ISL_15614803.Pelecaniformes.egypt.2.2022-06-17	H5N1	Pelecaniformes_wild	Pelecaniformes	northern africa	26.820553	30.802498
H5N1.EPI_ISL_16838578.Anseriformes.russia.2.2021-08-08	H5N1	Anseriformes_wild	Anseriformes	central asia	55.1512	61.4291
H5N1.EPI_ISL_8882210.Charadriiformes.italy.2.2021-11-29	H5N1	Charadriiformes_wild	Charadriiformes	southern europe	41.87194	12.56738
H5N1.EPI_ISL_7733621.Charadriiformes.italy.2.2021-11-11	H5N1	Charadriiformes_wild	Charadriiformes	southern europe	45.4383667	10.9917476000001
H5N1.EPI_ISL_7733598.Galliformes.italy.2.2021-11-19	H5N1	Galliformes_domestic	Galliformes	southern europe	45.1603653	10.7976976
H5N1.EPI_ISL_7733629.Galliformes.italy.2.2021-11-15	H5N1	Galliformes_domestic	Galliformes	southern europe	45.4383667	10.9917476000001
H5N1.EPI_ISL_7733642.Falconiformes.italy.2.2021-11-30	H5N1	Falconiformes_wild	Falconiformes	southern europe	45.4383667	10.9917476000001
H5N1.EPI_ISL_12150658.Galliformes.czech_republic.2.2022-01-12	H5N1	Galliformes_domestic	Galliformes	eastern europe	48.9457789	14.4416055
H5N1.EPI_ISL_12150664.Anseriformes.czech_republic.2.2021-12-18	H5N1	Anseriformes_wild	Anseriformes	eastern europe	48.9457789	14.4416055
H5N1.EPI_ISL_14761407.Anseriformes.italy.2.2022-02-08	H5N1	Anseriformes_wild	Anseriformes	southern europe	41.87194	12.56738
H5N1.EPI_ISL_14761462.Galliformes.italy.2.2022-02-22	H5N1	Galliformes_wild	Galliformes	southern europe	41.87194	12.56738
