collection_regionname,collection_year,collection_month,collection_season,collection_monthyear,n_cases,n_sequences,n_reassortants,reassortant_class,joint_reassortant_class,previous_reassortant_class,time,time_since_last_dominant
central & northern america,5,6,breeding,2020-06,0,0,0,none,none,none,5.415300546448179,0
europe,5,6,breeding,2020-06,5,2,1,dominant,dominant,dominant,5.415300546448179,0
africa,5,7,breeding,2020-07,0,0,0,none,none,none,5.497267759562874,0.24863387978143692
asia,5,7,breeding,2020-07,8,1,4,minor,minor,major,5.497267759562874,0
central & northern america,5,7,breeding,2020-07,0,0,0,none,none,none,5.497267759562874,0
europe,5,7,breeding,2020-07,1,0,0,none,none,none,5.497267759562874,0.08196721311469446
africa,5,8,breeding,2020-08,0,0,0,none,none,none,5.5819672131146945,0.33333333333325754
asia,5,8,breeding,2020-08,15,49,5,minor,dominant,minor,5.5819672131146945,0
asia,5,8,breeding,2020-08,15,49,1,dominant,dominant,minor,5.5819672131146945,0
central & northern america,5,8,breeding,2020-08,0,0,1,minor,minor,none,5.5819672131146945,0
europe,5,8,breeding,2020-08,5,2,1,minor,minor,dominant,5.5819672131146945,0.16666666666651508
africa,5,9,migrating_autumn,2020-09,0,0,0,none,none,none,5.6666666666667425,0.41803278688530554
asia,5,9,migrating_autumn,2020-09,24,34,0,none,none,none,5.6666666666667425,0.084699453552048
central & northern america,5,9,migrating_autumn,2020-09,0,1,0,none,none,none,5.6666666666667425,0
europe,5,9,migrating_autumn,2020-09,32,3,2,minor,minor,minor,5.6666666666667425,0.2513661202185631
africa,5,10,migrating_autumn,2020-10,0,0,0,none,none,none,5.748633879781437,0.5
asia,5,10,migrating_autumn,2020-10,18,24,4,minor,minor,dominant,5.748633879781437,0.16666666666674246
central & northern america,5,10,migrating_autumn,2020-10,1,18,0,none,none,none,5.748633879781437,0
europe,5,10,migrating_autumn,2020-10,58,50,4,minor,minor,minor,5.748633879781437,0.33333333333325754
africa,5,11,migrating_autumn,2020-11,1,2,0,none,none,none,5.8333333333332575,0.5846994535518206
asia,5,11,migrating_autumn,2020-11,73,221,4,minor,minor,minor,5.8333333333332575,0.2513661202185631
central & northern america,5,11,migrating_autumn,2020-11,1,0,0,none,none,none,5.8333333333332575,0
europe,5,11,migrating_autumn,2020-11,535,181,3,minor,minor,minor,5.8333333333332575,0.41803278688507817
africa,5,12,overwintering,2020-12,2,3,0,none,none,none,5.915300546448179,0.6666666666667425
asia,5,12,overwintering,2020-12,173,193,2,minor,minor,minor,5.915300546448179,0.3333333333334849
central & northern america,5,12,overwintering,2020-12,0,1,0,none,none,none,5.915300546448179,0
europe,5,12,overwintering,2020-12,337,91,3,minor,minor,minor,5.915300546448179,0.5
africa,6,1,overwintering,2021-01,5,4,0,none,none,none,6,0.7513661202185631
asia,6,1,overwintering,2021-01,328,118,1,minor,minor,minor,6,0.41803278688530554
central & northern america,6,1,overwintering,2021-01,0,0,0,none,none,none,6,0
europe,6,1,overwintering,2021-01,622,103,3,minor,dominant,minor,6,0.5846994535518206
europe,6,1,overwintering,2021-01,622,103,1,major,dominant,minor,6,0.5846994535518206
europe,6,1,overwintering,2021-01,622,103,1,dominant,dominant,minor,6,0
africa,6,2,overwintering,2021-02,14,19,0,none,none,none,6.084931506849216,0.8362976270677791
asia,6,2,overwintering,2021-02,141,92,1,major,dominant,minor,6.084931506849216,0.5029642937345216
asia,6,2,overwintering,2021-02,141,92,1,dominant,dominant,minor,6.084931506849216,0
central & northern america,6,2,overwintering,2021-02,0,0,0,none,none,none,6.084931506849216,0
europe,6,2,overwintering,2021-02,248,117,1,minor,minor,dominant,6.084931506849216,0.08493150684921602
africa,6,3,migrating_spring,2021-03,20,11,0,none,none,none,6.16164383561636,0.913009955834923
asia,6,3,migrating_spring,2021-03,43,26,1,minor,minor,dominant,6.16164383561636,0.07671232876714384
central & northern america,6,3,migrating_spring,2021-03,0,0,0,none,none,none,6.16164383561636,0
europe,6,3,migrating_spring,2021-03,395,167,0,none,none,none,6.16164383561636,0.16164383561635987
africa,6,4,migrating_spring,2021-04,15,5,1,minor,minor,dominant,6.246575342465803,0.9979414626843663
asia,6,4,migrating_spring,2021-04,18,5,1,minor,minor,minor,6.246575342465803,0.16164383561658724
central & northern america,6,4,migrating_spring,2021-04,1,0,0,none,none,none,6.246575342465803,0
europe,6,4,migrating_spring,2021-04,152,66,0,none,none,none,6.246575342465803,0.24657534246580326
africa,6,5,migrating_spring,2021-05,69,32,0,none,none,none,6.328767123287662,1.080133243506225
asia,6,5,migrating_spring,2021-05,24,26,3,minor,minor,minor,6.328767123287662,0.24383561643844587
central & northern america,6,5,migrating_spring,2021-05,0,0,0,none,none,none,6.328767123287662,0
europe,6,5,migrating_spring,2021-05,56,42,0,none,none,none,6.328767123287662,0.3287671232876619
africa,6,6,breeding,2021-06,65,19,0,none,none,none,6.413698630136878,1.165064750355441
asia,6,6,breeding,2021-06,23,6,3,minor,minor,minor,6.413698630136878,0.3287671232876619
central & northern america,6,6,breeding,2021-06,0,0,0,none,none,none,6.413698630136878,0
europe,6,6,breeding,2021-06,27,17,1,minor,minor,minor,6.413698630136878,0.4136986301368779
africa,6,7,breeding,2021-07,41,14,1,minor,minor,minor,6.495890410958964,1.247256531177527
asia,6,7,breeding,2021-07,25,4,3,minor,major,minor,6.495890410958964,0.4109589041097479
asia,6,7,breeding,2021-07,25,4,1,major,major,minor,6.495890410958964,0.4109589041097479
central & northern america,6,7,breeding,2021-07,0,0,1,dominant,dominant,minor,6.495890410958964,0
europe,6,7,breeding,2021-07,26,13,2,minor,minor,minor,6.495890410958964,0.4958904109589639
africa,6,8,breeding,2021-08,24,6,0,none,none,none,6.58082191780818,1.332188038026743
asia,6,8,breeding,2021-08,30,3,1,minor,minor,major,6.58082191780818,0.4958904109589639
central & northern america,6,8,breeding,2021-08,0,1,0,none,none,none,6.58082191780818,0.08493150684921602
europe,6,8,breeding,2021-08,27,10,2,minor,minor,minor,6.58082191780818,0.5808219178081799
africa,6,9,migrating_autumn,2021-09,38,10,0,none,none,none,6.665753424657623,1.4171195448761864
asia,6,9,migrating_autumn,2021-09,9,16,0,none,none,none,6.665753424657623,0.5808219178084073
central & northern america,6,9,migrating_autumn,2021-09,0,0,0,none,none,none,6.665753424657623,0.16986301369865942
europe,6,9,migrating_autumn,2021-09,24,26,1,major,major,minor,6.665753424657623,0.6657534246576233
africa,6,10,migrating_autumn,2021-10,47,26,0,none,none,none,6.747945205479482,1.499311325698045
asia,6,10,migrating_autumn,2021-10,25,33,4,minor,minor,minor,6.747945205479482,0.6630136986302659
central & northern america,6,10,migrating_autumn,2021-10,0,0,0,none,none,none,6.747945205479482,0.25205479452051804
europe,6,10,migrating_autumn,2021-10,122,86,3,minor,minor,major,6.747945205479482,0.747945205479482
africa,6,11,migrating_autumn,2021-11,22,10,1,minor,minor,minor,6.832876712328698,1.584242832547261
asia,6,11,migrating_autumn,2021-11,61,84,1,minor,minor,minor,6.832876712328698,0.747945205479482
central & northern america,6,11,migrating_autumn,2021-11,17,1,0,none,none,none,6.832876712328698,0.33698630136973406
europe,6,11,migrating_autumn,2021-11,744,408,2,minor,minor,minor,6.832876712328698,0.832876712328698
africa,6,12,overwintering,2021-12,36,25,0,none,none,none,6.915068493150784,1.666434613369347
asia,6,12,overwintering,2021-12,117,91,1,minor,minor,minor,6.915068493150784,0.830136986301568
central & northern america,6,12,overwintering,2021-12,12,8,3,minor,major,dominant,6.915068493150784,0.41917808219182007
central & northern america,6,12,overwintering,2021-12,12,8,6,major,major,dominant,6.915068493150784,0.41917808219182007
europe,6,12,overwintering,2021-12,715,358,2,minor,dominant,minor,6.915068493150784,0.915068493150784
europe,6,12,overwintering,2021-12,715,358,1,dominant,dominant,minor,6.915068493150784,0
africa,7,1,overwintering,2022-01,77,41,0,none,none,none,7,1.751366120218563
asia,7,1,overwintering,2022-01,69,45,1,minor,minor,minor,7,0.915068493150784
central & northern america,7,1,overwintering,2022-01,57,93,0,none,none,none,7,0.5041095890410361
europe,7,1,overwintering,2022-01,799,159,1,minor,major,dominant,7,0.08493150684921602
europe,7,1,overwintering,2022-01,799,159,1,major,major,dominant,7,0.08493150684921602
africa,7,2,overwintering,2022-02,66,11,0,none,none,none,7.084931506849216,1.836297627067779
asia,7,2,overwintering,2022-02,89,46,1,minor,minor,minor,7.084931506849216,1
central & northern america,7,2,overwintering,2022-02,64,150,1,minor,dominant,major,7.084931506849216,0.5890410958902521
central & northern america,7,2,overwintering,2022-02,64,150,2,dominant,dominant,major,7.084931506849216,0
europe,7,2,overwintering,2022-02,501,123,1,minor,minor,major,7.084931506849216,0.16986301369843204
africa,7,3,migrating_spring,2022-03,10,18,0,none,none,none,7.16164383561636,1.913009955834923
asia,7,3,migrating_spring,2022-03,112,24,0,none,none,none,7.16164383561636,1.0767123287671438
central & northern america,7,3,migrating_spring,2022-03,204,737,1,minor,major,dominant,7.16164383561636,0.07671232876714384
central & northern america,7,3,migrating_spring,2022-03,204,737,1,major,major,dominant,7.16164383561636,0.07671232876714384
europe,7,3,migrating_spring,2022-03,610,76,0,none,none,none,7.16164383561636,0.2465753424655759
africa,7,4,migrating_spring,2022-04,8,13,0,none,none,none,7.246575342465803,1.9979414626843663
asia,7,4,migrating_spring,2022-04,73,20,1,major,major,minor,7.246575342465803,1.1616438356165872
central & northern america,7,4,migrating_spring,2022-04,403,1020,2,minor,minor,major,7.246575342465803,0.16164383561658724
europe,7,4,migrating_spring,2022-04,349,51,0,none,none,none,7.246575342465803,0.3315068493150193
africa,7,5,migrating_spring,2022-05,12,1,0,none,none,none,7.328767123287662,2.080133243506225
asia,7,5,migrating_spring,2022-05,51,3,0,none,none,none,7.328767123287662,1.2438356164384459
central & northern america,7,5,migrating_spring,2022-05,226,305,2,minor,minor,minor,7.328767123287662,0.24383561643844587
europe,7,5,migrating_spring,2022-05,242,47,2,minor,minor,minor,7.328767123287662,0.4136986301368779
africa,7,6,breeding,2022-06,13,2,0,none,none,none,7.413698630136878,2.165064750355441
asia,7,6,breeding,2022-06,50,8,5,minor,minor,major,7.413698630136878,1.3287671232876619
central & northern america,7,6,breeding,2022-06,75,83,2,minor,minor,minor,7.413698630136878,0.3287671232876619
europe,7,6,breeding,2022-06,241,136,2,minor,minor,minor,7.413698630136878,0.49863013698609393
africa,7,7,breeding,2022-07,3,2,0,none,none,none,7.495890410958964,2.247256531177527
asia,7,7,breeding,2022-07,93,28,0,none,none,none,7.495890410958964,1.410958904109748
central & northern america,7,7,breeding,2022-07,34,40,1,major,major,minor,7.495890410958964,0.4109589041097479
europe,7,7,breeding,2022-07,225,77,2,minor,minor,minor,7.495890410958964,0.5808219178081799
africa,7,8,breeding,2022-08,9,1,1,minor,minor,minor,7.58082191780818,2.332188038026743
asia,7,8,breeding,2022-08,36,10,3,minor,minor,minor,7.58082191780818,1.495890410958964
central & northern america,7,8,breeding,2022-08,33,42,1,minor,major,major,7.58082191780818,0.4958904109589639
central & northern america,7,8,breeding,2022-08,33,42,1,major,major,major,7.58082191780818,0.4958904109589639
europe,7,8,breeding,2022-08,204,60,0,none,none,none,7.58082191780818,0.665753424657396
africa,7,9,migrating_autumn,2022-09,3,3,0,none,none,none,7.665753424657623,2.4171195448761864
asia,7,9,migrating_autumn,2022-09,11,1,3,minor,minor,minor,7.665753424657623,1.5808219178084073
