tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H9N2.NA.EPI_ISL_8387691.galliformes.morocco.NA.2016-01-26,H9N2,EPI_ISL_8387691,A/chicken/Morocco/19RS1944-2/2016,2016-01-26,2016.07,2016-01,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern africa,morocco,mar,31.8293937185367,-6.35032719129954,NA,NA,NA,NA,A,2016-04,3789,NA,NA,NA,NA,NA,2016-01-26,n2,n2,profileNA
H5N2.2.3.4.4b.EPI_ISL_17414667.galliformes.nigeria.311.2021-12-28,H5N2,EPI_ISL_17414667,a/chicken/nigeria/743a_22vir3286-80/2021,2021-12-28,2021.99,2021-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,bauchi,ng.ba,10.7743712595196,9.98774039325803,a,2021-52,3815,2.3.4.4b,"Africa / Nigeria / Jumpi II, Toro LGA, Bauchi State / NA / NA",2_1_1_1_1_95_36_1,NA,311,2021-12-28,n2,n2,profile095
H9N2.NA.EPI_ISL_14768078.galliformes.nigeria.NA.2019-08-02,H9N2,EPI_ISL_14768078,A/chicken/Nigeria/EN-CK26-30T_19VIR8425-19/2019,2019-08-02,2019.58,2019-08,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-31,3815,NA,NA,NA,NA,NA,2019-08-02,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768079.galliformes.nigeria.NA.2019-07-23,H9N2,EPI_ISL_14768079,A/chicken/Nigeria/AB-L1-4T_19VIR8425-12/2019,2019-07-23,2019.56,2019-07,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-30,3815,NA,NA,NA,NA,NA,2019-07-23,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768089.galliformes.nigeria.NA.2019-07-19,H9N2,EPI_ISL_14768089,A/chicken/Nigeria/RV-CK6-10T_19VIR8425-6/2019,2019-07-19,2019.55,2019-07,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-29,3815,NA,NA,NA,NA,NA,2019-07-19,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768087.galliformes.nigeria.NA.2019-07-12,H9N2,EPI_ISL_14768087,A/chicken/Nigeria/RV-C11-15OR_19VIR8424-15/2019,2019-07-12,2019.53,2019-07,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-28,3815,NA,NA,NA,NA,NA,2019-07-12,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768088.galliformes.nigeria.NA.2019-07-05,H9N2,EPI_ISL_14768088,A/chicken/Nigeria/RV-CK16-20T_19VIR8424-4/2019,2019-07-05,2019.51,2019-07,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-27,3815,NA,NA,NA,NA,NA,2019-07-05,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768082.galliformes.nigeria.NA.2019-07-11,H9N2,EPI_ISL_14768082,A/chicken/Nigeria/KD-CK107-111OR_19VIR8424-19/2019,2019-07-11,2019.52,2019-07,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-28,3815,NA,NA,NA,NA,NA,2019-07-11,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768096.galliformes.nigeria.NA.2019-07-05,H9N2,EPI_ISL_14768096,A/guinea_fowl/Nigeria/OG-GF6-8T_19VIR8424-5/2019,2019-07-05,2019.51,2019-07,galliformes_wild,galliformes,Numididae,guttera pucherani/verreauxi/edouardi,crested guineafowl sp.,bird,wild,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-27,3815,NA,NA,NA,NA,NA,2019-07-05,n2,n2,profileNA
H9N2.NA.EPI_ISL_14768094.galliformes.nigeria.NA.2019-07-17,H9N2,EPI_ISL_14768094,A/guinea_fowl/Nigeria/KD-GF152-154T_19VIR8425-1/2019,2019-07-17,2019.54,2019-07,galliformes_wild,galliformes,Numididae,guttera pucherani/verreauxi/edouardi,crested guineafowl sp.,bird,wild,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,A,2019-29,3815,NA,NA,NA,NA,NA,2019-07-17,n2,n2,profileNA
