tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N5.2.3.4.4b.EPI_ISL_12754536.accipitriformes.norway.44.2022-03-24,H5N5,EPI_ISL_12754536,a/sea_eagle/norway/2022-07-198_22vir3866-2/2022,2022-03-24,2022.22,2022-03,accipitriformes_wild,accipitriformes,Accipitridae,accipitridae sp. (eagle sp.),eagle sp.,bird,wild,northern europe,norway,nor,63.9836330810339,12.3044196327525,sør-trøndelag,no.st,63.1212358892601,10.3794531007054,a,2022-12,3819,2.3.4.4b,Europe / Norway / Hitra / NA / NA,2_1_16_1_1_8_1_1,H5N5/2020/R2_Europe,44,2022-03-24,n5,n5,profile008
H5N5.2.3.4.4b.EPI_ISL_12754535.accipitriformes.norway.44.2022-03-25,H5N5,EPI_ISL_12754535,a/sea_eagle/norway/2022-07-196_22vir3866-1/2022,2022-03-25,2022.23,2022-03,accipitriformes_wild,accipitriformes,Accipitridae,accipitridae sp. (eagle sp.),eagle sp.,bird,wild,northern europe,norway,nor,63.9836330810339,12.3044196327525,troms,no.tr,69.2782075900742,19.5016391581555,a,2022-12,3819,2.3.4.4b,Europe / Norway / Tromso / NA / NA,2_1_16_1_1_8_1_1,H5N5/2020/R2_Europe,44,2022-03-25,n5,n5,profile008
H5N5.NA.EPI_ISL_3128537.strigiformes.sweden.NA.2021-03-28,H5N5,EPI_ISL_3128537,A/Tawny_owl/Sweden/SVA210406SZ0042/FB001362/M-2021/NA,2021-03-28,2021.24,2021-03,strigiformes_wild,strigiformes,Strigidae,strix aluco,tawny owl,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2021-12,3862,NA,NA,NA,NA,NA,2021-03-28,n5,n5,profileNA
H5N5.NA.EPI_ISL_1389396.anseriformes.sweden.NA.2021-03-15,H5N5,EPI_ISL_1389396,A/Canada_Goose/Sweden/SVA210316SZ0497/KN001014/T/2021,2021-03-15,2021.2,2021-03,anseriformes_wild,anseriformes,Anatidae,branta canadensis,canada goose,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2021-11,3862,NA,NA,NA,NA,NA,2021-03-15,n5,n5,profileNA
H5N5.NA.EPI_ISL_1308013.accipitriformes.sweden.NA.2021-02-26,H5N5,EPI_ISL_1308013,A/buzzard/Sweden/SVA210304SZ0317/KN000809/Sk/2021,2021-02-26,2021.15,2021-02,accipitriformes_wild,accipitriformes,Accipitridae,buteo buteo,common buzzard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2021-08,3862,NA,NA,NA,NA,NA,2021-02-26,n5,n5,profileNA
H12N5.NA.EPI_ISL_1241001.anseriformes.russia.NA.2020-08-29,H12N5,EPI_ISL_1241001,A/mallard/Novosibirsk_region/3541k/2020,2020-08-29,2020.66,2020-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2020-35,2696,NA,NA,NA,NA,NA,2020-08-29,n5,n5,profileNA
H6N5.NA.EPI_ISL_328956.anseriformes.netherlands.NA.2015-09-05,H6N5,EPI_ISL_328956,A/mallard_duck/Netherlands/59/2015,2015-09-05,2015.68,2015-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2015-36,3818,NA,NA,NA,NA,NA,2015-09-05,n5,n5,profileNA
H6N5.NA.EPI_ISL_328957.anseriformes.netherlands.NA.2015-09-12,H6N5,EPI_ISL_328957,A/mallard_duck/Netherlands/60/2015,2015-09-12,2015.7,2015-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2015-37,3818,NA,NA,NA,NA,NA,2015-09-12,n5,n5,profileNA
H12N5.NA.EPI_ISL_291192.anseriformes.netherlands.NA.2015-09-06,H12N5,EPI_ISL_291192,A/Mallard/Netherlands/15013156/2015,2015-09-06,2015.68,2015-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2015-36,3818,NA,NA,NA,NA,NA,2015-09-06,n5,n5,profileNA
H12N5.NA.EPI_ISL_291191.anseriformes.netherlands.NA.2015-08-06,H12N5,EPI_ISL_291191,A/Mallard/Netherlands/15011910/2015,2015-08-06,2015.59,2015-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2015-32,3818,NA,NA,NA,NA,NA,2015-08-06,n5,n5,profileNA
