cluster_profile,cluster_label,.cluster
15_1_1_1_1_1_1_1,H5N1/2022/R30_NAmerica,3
15_1_1_1_2_1_1_1,H5N1/2022/R47_NAmerica,3
15_3_1_1_2_1_1_3,H5N1/2023/R5_NAmerica,3
16_8_10_1_8_6_1_8,H5N6/2021/R1_Asia,3
17_1_1_1_1_1_1_1,H5N1/2022/R42_Africa,3
17_1_6_1_5_2_1_10,H5N8/2021/R13_Asia,3
18_1_2_1_1_18_1_1,H5N2/2022/R2_Asia,3
18_1_2_1_1_1_1_1,H5N1/2023/R19_Europe,3
18_6_2_1_14_1_1_1,H5N1/2023/R15_Europe,3
18_9_2_1_1_1_1_1,H5N1/2023/R18_Europe,3
19_8_11_1_8_6_1_9,H5N6/2022/R1_Asia,3
19_8_11_1_8_9_1_9,H5N6/2021/R2_Asia,3
1_1_11_1_1_11_1_7,H5N4/2021/R1_Europe,3
1_1_12_1_1_1_1_1,H5N1/2022/R36_Asia,3
1_1_12_1_1_2_1_5,H5N8/2021/R7_Europe,3
1_1_18_1_1_1_1_1,H5N1/2022/R1_Europe,3
1_1_18_2_5_19_1_5,H5N2/2020/R1_Europe,3
1_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,1
1_1_1_1_5_1_1_5,H5N1/2022/R64_Asia,3
1_1_2_1_10_1_1_5,H5N1/2021/R9_Europe,3
1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,3
1_1_2_1_11_1_1_1,H5N1/2022/R20_Europe,3
1_1_2_1_1_11_1_7,H5N4/2021/R2_Europe,3
1_1_2_1_1_1_1_1,H5N1/2021/R1_Europe,2
1_1_2_1_1_1_1_17,H5N1/2021/R17_Europe,3
1_1_2_1_1_1_1_7,H5N1/2024/R1_Europe,3
1_1_2_1_9_1_1_1,H5N1/2022/R21_Europe,3
1_1_2_1_9_1_1_5,H5N1/2022/R22_Europe,3
1_1_3_1_1_1_1_1,H5N1/2022/R18_Europe,3
1_1_3_1_9_1_1_1,H5N1/2022/R8_Europe,3
1_1_4_1_4_1_1_4,H5N1/2022/R12_Europe,2
1_1_6_1_10_27_1_2,H5N8/2021/R12_Europe,3
1_1_6_1_1_1_1_1,H5N1/2022/R41_Asia,3
1_1_6_1_9_1_1_1,H5N1/2023/R8_Europe,3
1_1_7_1_1_1_1_5,H5N1/2022/R61_Asia,3
1_1_7_1_5_1_1_1,H5N1/2023/R7_Asia,3
1_1_7_1_5_1_1_5,H5N1/2022/R25_Asia,3
1_1_7_2_3_3_1_2,H5N8/2020/R7_Asia,3
1_1_7_2_3_3_1_5,H5N8/2020/R8_Asia,3
1_2_15_2_1_13_1_2,H5N8/2019/R8_Europe,3
1_2_2_1_5_5_1_2,H5N5/2020/R3_Europe,3
1_6_2_1_1_1_1_1,H5N1/2023/R16_Europe,1
1_6_2_1_1_1_1_10,H5N1/2023/R32_Europe,3
1_6_6_1_5_1_1_1,H5N1/2022/R43_Asia,3
1_6_6_1_5_1_1_5,H5N1/2022/R26_Asia,3
1_7_1_1_9_1_1_1,H5N1/2022/R48_Asia,3
1_7_6_1_5_1_1_6,H5N1/2022/R49_Asia,3
1_9_5_2_3_3_1_2,H5N8/2020/R6_Asia,3
20_1_2_1_5_1_1_6,H5N1/2023/R10_Asia,3
20_1_7_1_5_1_1_1,H5N1/2022/R54_Asia,3
20_7_6_1_3_1_1_1,H5N1/2022/R55_Asia,3
20_7_7_1_9_7_1_1,H5N6/2023/R3_Asia,3
20_9_13_1_5_1_1_1,H5N1/2022/R63_Asia,3
22_2_3_1_3_2_1_2,H5N8/2022/R3_Africa,3
23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,3
24_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,3
27_1_1_1_1_1_1_1,H5N1/2022/R14_NAmerica,3
28_3_1_1_2_1_1_3,H5N1/2023/R3_NAmerica,3
2_1_12_1_1_1_1_1,H5N1/2023/R12_Asia,3
2_1_17_1_1_1_1_1,H5N1/2021/R14_Africa,3
2_1_18_1_1_1_1_1,H5N1/2022/R24_Europe,1
2_1_1_1_10_1_1_1,H5N1/2021/R12_Europe,3
2_1_1_1_1_16_1_2,H5N8/2020/R5_Europe,3
2_1_1_1_1_1_1_1,H5N1/2020/R1_Europe,2
2_1_1_1_1_1_1_11,H5N1/2022/R39_NAmerica,3
2_1_1_1_1_1_5_1,H5N1/2021/R16_Europe,3
2_1_1_1_1_28_6_1,H5N2/2021/R1_Africa,3
2_1_1_1_1_30_1_1,H5N5/2024/R1_Asia,3
2_1_1_1_1_4_1_1,H5N5/2021/R4_Europe,3
2_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,3
2_1_1_1_5_1_1_18,H5N1/2022/R62_Asia,3
