cluster_profile,parent_profile,height_median,parent_height_median,segments_changed,cluster_label,cluster_class,parent_class,parent_label,time_since_parent
2_1_6_1_5_1_1_1,1_1_2_1_1_1_1_1,2.2432592259899593,2.369930541044794,3,H5N1/2021/R15_Asia,2,3,H5N1/2021/R1_Europe,0.12667131505483464
2_6_1_1_1_1_1_1,1_1_2_1_1_1_1_1,2.8295605958530814,3.381638803718486,3,H5N1/2021/R10_Asia,2,3,H5N1/2021/R1_Europe,0.5520782078654047
2_6_1_1_6_1_1_1,1_1_2_1_1_1_1_1,2.443259225990005,2.925653046506228,4,H5N1/2021/R4_Asia,1,3,H5N1/2021/R1_Europe,0.48239382051622304
2_6_1_1_6_1_1_12,13_1_2_1_1_1_1_1,1.3528482670858466,1.3849678136576502,5,H5N1/2022/R67_Asia,2,2,H5N1/2022/R27_Europe,0.0321195465718036
2_6_1_1_6_1_1_6,1_1_2_1_1_1_1_1,1.092574294483029,1.3536737651037267,5,H5N1/2023/R9_Asia,2,3,H5N1/2021/R1_Europe,0.2610994706206977
2_6_1_4_6_1_1_1,1_1_2_1_1_1_1_1,0.6514784040721224,2.0250283051508635,5,H5N1/2023/R14_Asia,2,3,H5N1/2021/R1_Europe,1.373549901078741
2_9_1_1_6_1_1_1,1_1_2_1_1_1_1_1,0.840519499962511,2.3882442897574974,4,H5N1/2023/R20_Asia,2,3,H5N1/2021/R1_Europe,1.5477247897949864
3_1_12_1_3_2_1_2,3_2_3_1_3_2_1_2,1.283160613324184,1.3266908753492617,2,H5N8/2021/R6_Europe,2,3,H5N8/2019/R7_Africa,0.043530262025077704
3_1_2_1_11_1_1_2,1_6_2_1_1_1_1_10,3.3770491803279583,3.446482755483872,4,H5N1/2020/R2_Europe,2,2,H5N1/2023/R32_Europe,0.06943357515591364
3_1_2_1_3_2_1_2,1_1_2_1_1_1_1_1,3.4590163934426528,3.7216039713467417,4,H5N8/2021/R1_Europe,2,3,H5N1/2021/R1_Europe,0.26258757790408893
3_1_2_1_5_5_1_2,3_2_2_1_3_5_1_2,0.4530949065157781,0.5320055999801543,2,H5N5/2021/R1_Europe,2,2,H5N5/2020/R1_Europe,0.07891069346437618
3_1_3_1_3_14_1_2,2_1_1_1_9_1_1_1,2.306272924620089,2.4467948621017968,5,H5N1/2022/R9_Asia,2,2,H5N1/2022/R57_Europe,0.14052193748170794
3_2_2_1_1_5_1_2,3_1_2_1_5_5_1_2,0.398646781965466,0.4530949065157781,2,H5N5/2021/R2_Europe,2,2,H5N5/2021/R1_Europe,0.054448124550312116
3_2_2_1_3_2_1_2,3_2_3_1_3_2_1_2,1.2094020926360969,1.2490099875704566,1,H5N8/2020/R1_Europe,2,3,H5N8/2019/R7_Africa,0.03960789493435968
3_2_2_1_3_5_1_2,3_2_3_1_3_2_1_2,1.0456639880001939,1.1091684705579836,2,H5N5/2020/R1_Europe,2,3,H5N8/2019/R7_Africa,0.06350448255778973
3_2_3_1_1_2_1_2,3_2_3_1_3_2_1_2,1.3503144272777137,1.3826489585002077,1,H5N8/2021/R2_Europe,2,3,H5N8/2019/R7_Africa,0.03233453122249408
3_2_3_1_3_2_1_2,1_1_2_1_1_1_1_1,3.3551912568307216,3.396192608734172,6,H5N8/2019/R7_Africa,3,3,H5N1/2021/R1_Europe,0.041001351903450445
3_2_3_1_3_5_1_2,2_1_1_1_1_1_1_1,2.295314020510432,2.3239922797017645,6,H5N5/2020/R2_Europe,2,3,H5N1/2020/R1_Europe,0.0286782591913326
7_1_5_2_1_3_1_2,14_1_3_1_1_1_1_1,4.969286623250355,6.199374636520955,5,H5N8/2019/R3_Europe,1,2,H5N1/2022/R23_Europe,1.2300880132706
