tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,cluster_profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N1|2344b|EPI_ISL_17777527|charadriiformes|peru|4_3_1_1_2_1_1_3|2023-03-16,H5N1,EPI_ISL_17777527,a/gull/peru/lim-ins-006/2023,2023-03-16,2023-03,2023,Aves,charadriiformes,laridae,larinae sp.,gull sp.,TRUE,wild,charadriiformes-wild,south america,peru,per,-9.12690950582405,-74.3967035676846,lima province,pe.lp,-12.0179113235961,-76.9049187829412,South America / Peru / Departamento de Lima / Lima / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-03-16,cluster003,FALSE
H5N1|2344b|EPI_ISL_17777528|suliformes|peru|4_3_1_1_2_1_1_3|2023-03-17,H5N1,EPI_ISL_17777528,a/peruvian_booby/peru/cal-ins-007/2023,2023-03-17,2023-03,2023,Aves,suliformes,sulidae,sula variegata,peruvian booby,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,callao,pe.cl,-11.9545824923705,-77.1360367031896,South America / Peru / Provincia Constitucional del Callao / Callao / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-03-17,cluster003,FALSE
H5N1|2344b|EPI_ISL_17777529|suliformes|peru|4_3_1_1_2_1_1_3|2023-03-17,H5N1,EPI_ISL_17777529,a/peruvian_booby/peru/cal-ins-008/2023,2023-03-17,2023-03,2023,Aves,suliformes,sulidae,sula variegata,peruvian booby,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,callao,pe.cl,-11.9545824923705,-77.1360367031896,South America / Peru / Provincia Constitucional del Callao / Callao / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-03-17,cluster003,FALSE
H5N1|2344b|EPI_ISL_17777530|suliformes|peru|4_3_1_1_2_1_1_3|2023-03-17,H5N1,EPI_ISL_17777530,a/guanay_cormorant/peru/cal-ins-009/2023,2023-03-17,2023-03,2023,Aves,suliformes,phalacrocoracidae,leucocarbo bougainvillii,guanay cormorant,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,callao,pe.cl,-11.9545824923705,-77.1360367031896,South America / Peru / Provincia Constitucional del Callao / Callao / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-03-17,cluster003,FALSE
H5N1|2344b|EPI_ISL_17777532|carnivora|peru|4_3_1_1_2_1_1_3|2023-03-07,H5N1,EPI_ISL_17777532,a/sea_lion/peru/tac-ins-011/2023,2023-03-07,2023-03,2023,mammalia,carnivora,phocidae,phocidae sp.,true seal sp.,FALSE,wild,mammal,south america,peru,per,-9.12690950582405,-74.3967035676846,tacna,pe.ta,-17.644827527273,-70.2791288812849,South America / Peru / Departamento de Tacna / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-03-07,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805986|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-18,H5N1,EPI_ISL_17805986,a/chicken/peru/ais0546/2022,2022-12-18,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-18,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805987|galliformes|peru|4_3_1_1_2_1_1_3|2022-11-18,H5N1,EPI_ISL_17805987,a/chicken/peru/ais0539/2022,2022-11-18,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-18,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805988|galliformes|peru|4_3_1_1_2_1_1_3|2022-11-28,H5N1,EPI_ISL_17805988,a/chicken/peru/ais0540/2022,2022-11-28,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-28,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805989|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-01,H5N1,EPI_ISL_17805989,a/chicken/peru/ais0542/2022,2022-12-01,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-01,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805990|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-01,H5N1,EPI_ISL_17805990,a/chicken/peru/ais0543/2022,2022-12-01,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-01,cluster003,FALSE
