# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 01:19:29 BST 2024 [seed=1724113168649]
# -overwrite -threads 4 -beagle_thread_count 4 n1_11414114_subsampled_relaxLn_constant.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-21454.74480438937	-3802.7296663977686	-17652.015137991602	2.5936472772955677	2021.181695188458	28.51099686558195	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.005	0.3333333333333333	0.0022863701980450706	6.861081888972769	-0.01679549591459438	-17652.015137991602	-3528.9923010087714	-266.55840905195373
20000	-12094.503220189441	-4384.6274554758875	-7709.8757647135535	2.590589061577335	2021.1847534041763	71.47025751123454	8.135448465341943	12.357385568390592	26.85614872655396	0.28398698271647654	0.17960860559390554	0.2640578511949008	0.27234656049471706	0.1174055429194719	0.18729871040068757	0.4538683967577353	2.0922632064845295	0.02954699500756592	0.0354316731234217	0.022345298979898478	1.0491587508406888	0.04009257374233361	-7709.8757647135535	-3528.9923010087714	-836.9320172655758
40000	-11599.42839017651	-4389.7285750156825	-7209.699815160828	2.1680886802405963	2021.607253785513	71.34941677802757	7.7505406970863175	11.75863699891731	19.557714310455005	0.2713729912345796	0.21618188516546272	0.25731918024775885	0.25512594335219907	0.08770237608068918	0.2502245064950149	0.22716490065280412	2.5456701986943964	0.01898367102326287	0.01468903821560407	0.016863498122426598	0.7132041134574358	0.04831987425908152	-7209.699815160828	-3528.9923010087714	-844.5805240331608
60000	-11141.968540951286	-4394.11289833836	-6747.855642612926	2.4041205491266413	2021.3712219166268	74.27203573388125	8.574166801416181	11.21585329975037	16.408811201926678	0.26180250584921205	0.20860380151518138	0.24332714356943935	0.2862665490661674	0.05265011054439333	0.2924417993740649	0.30815445802509206	2.3836910839498167	0.01025036816367988	0.011015453722913331	0.00880068309676592	0.9709497175568735	-0.006853102639379331	-6747.855642612926	-3528.9923010087714	-851.1753988012721
80000	-10799.87334462301	-4373.382565033412	-6426.4907795896	2.195786339762675	2021.5795561259908	67.06804606591518	7.8033988926854905	13.572102316564472	18.61694644698406	0.2807874474594477	0.20160903351735826	0.265642106484653	0.25196141253854093	0.07163399192807657	0.3724302279647971	0.34484900448103695	2.3103019910379294	0.007532673457513002	0.005230599262840901	0.007363667901660952	0.6911351430959763	-0.08416788067019042	-6426.4907795896	-3528.9923010087714	-830.4194430897293
100000	-10546.447527813167	-4375.799336328322	-6170.648191484845	1.9307962101423481	2021.8445462556112	64.79365903833539	7.655313560824229	7.712722849941288	12.095491544362536	0.2734249148353764	0.1962251048048765	0.2585485697978634	0.27180141056188345	0.11481957038211724	0.4775743540252663	0.3838673366750073	2.2322653266499906	0.006448730910318673	0.0041651245593783215	0.006587830144859193	0.6434143648418377	0.05365940792646241	-6170.648191484845	-3528.9923010087714	-834.8167159368544
120000	-10350.039736955023	-4363.369647061767	-5986.670089893256	1.9132760859153075	2021.862066379838	64.69662006968906	6.940225251122901	9.708200821009306	14.000968160302373	0.27642936802210083	0.19376597200027124	0.2751680368688663	0.2546366231087614	0.17569357568747193	0.5726125477909785	0.3693124009051192	2.2613751981897683	0.00665006982485513	0.003003858454106523	0.0066954744792650745	0.46884662001644367	-0.02895722762542373	-5986.670089893256	-3528.9923010087714	-821.4251355410397
140000	-10252.461212499868	-4365.544428319965	-5886.916784179903	1.9334312512298446	2021.8419112145236	64.83518850280525	6.78504446711374	15.918758866443644	12.384399778007039	0.27321331209191707	0.19253355576724115	0.2577777226771621	0.27647540946367943	0.08697714478927053	0.5242814836642447	0.3995477039527838	2.200904592094443	0.005332725448282604	0.0017654725346224092	0.005185431411069237	0.33466603069283146	0.07136545559618791	-5886.916784179903	-3528.9923010087714	-823.5580632251911
160000	-10125.952752577377	-4357.795803889072	-5768.156948688305	2.182786646260579	2021.5925558194929	65.00807908765059	6.496174806507368	10.379359544430551	17.856395769949657	0.28920668827263557	0.197451926076189	0.24398762669505422	0.2693537589561209	0.023274480055526767	0.8497492426837432	0.3361729198488303	2.3276541603023517	0.005636501990554237	0.0024307177408641467	0.005446897821425171	0.4221927158112647	0.043077065824872904	-5768.156948688305	-3528.9923010087714	-815.3259841496018
180000	-10072.525998884943	-4345.220343128335	-5727.305655756608	2.0936960495250094	2021.6816464162284	63.567169435251216	6.815141337768839	17.849847765679076	12.454139568217709	0.26999201490126606	0.19674066536747425	0.24287352807121323	0.2903937916600459	0.18575882393596574	0.847948316465493	0.37637246036546507	2.247255079269086	0.005710350999340841	0.003041486924906787	0.005536610847839148	0.5205256215725474	0.01267855329800406	-5727.305655756608	-3528.9923010087714	-802.0091782920417
200000	-9997.406219649627	-4345.783551058736	-5651.6226685908905	1.7493288620731953	2022.0260136036802	61.17892802759996	6.218870007676461	13.024952538346342	12.210414025915721	0.27661311505692693	0.20095409384131074	0.24831975085293037	0.27411304024883154	0.037557980855353786	0.9096366532472153	0.3837778830298649	2.2324442339402815	0.00545886414791719	0.0010381715380690334	0.005318116295127274	0.18617357396492049	-0.015921282648954323	-5651.6226685908905	-3528.9923010087714	-803.6195137713104
220000	-9916.194220825977	-4291.199630799191	-5624.994590026786	1.862310560868928	2021.9130319048845	55.95791881127541	5.418255857968032	12.25690378348058	16.005212710814117	0.2720593500465883	0.1921754058593002	0.2550735799628543	0.2806916641312565	0.08721916786200457	0.8029012228657122	0.4010390490524327	2.197921901895146	0.006350592860359209	0.0024092853705920555	0.006195257673129581	0.3490055968801384	-0.06320645727299666	-5624.994590026786	-3528.9923010087714	-748.5870855575166
240000	-9869.092712338206	-4277.5051526292145	-5591.587559708993	2.063615662836826	2021.7117268029167	54.854923580412574	5.488692180654202	15.514354001646673	10.736538269079288	0.2728894200396212	0.18830561035997084	0.24928001801405625	0.28952495158635116	0.2906342090202064	0.7389232443378897	0.3340381638413947	2.331923672317219	0.005992570367566376	5.355421327710871E-4	0.005948453164853446	0.09317635332195486	-0.011488176978424795	-5591.587559708993	-3528.9923010087714	-735.0317296625437
260000	-9729.592149541932	-4235.729377889182	-5493.86277165275	1.804923555080431	2021.970418910673	51.3795138152538	4.648283457175947	10.958989102757808	10.75832279769722	0.298373041585006	0.19855093109392344	0.21886020299973905	0.28421582432133075	0.00489064873315144	1.0902621411379187	0.35767188629599284	2.2846562274080204	0.006052876140417237	0.0023213658067920274	0.005895534034557403	0.4100327388141194	-0.04285552606791856	-5493.86277165275	-3528.9923010087714	-693.9605071814119
280000	-9656.611119476884	-4211.325722205913	-5445.285397270971	1.8308424433189798	2021.9445000224346	47.185489369578924	4.218131701859764	13.852266445296495	10.971995554338339	0.27578319561609843	0.20379943940320439	0.2534152040770418	0.26700216090365453	0.060813373918685756	1.0061630916091302	0.3842845217988326	2.2314309564023427	0.0064782502012320576	0.0019486065026806424	0.006268684955719208	0.31345757376769434	-0.04672589755851456	-5445.285397270971	-3528.9923010087714	-669.0894947628659
