tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,clade,collection_original,cluster_profile,cluster_label,collection_tipdate,collection_dateerror
H2N4|NA|EPI_ISL_16215530|anseriformes|canada|NA|2021-08-26,H2N4,EPI_ISL_16215530,A/Mallard/Alberta/571/2021,2021-08-26,2021.65,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2021-08-26,FALSE
H2N4|NA|EPI_ISL_16215527|anseriformes|canada|NA|2021-08-26,H2N4,EPI_ISL_16215527,A/Mallard/Alberta/150/2021,2021-08-26,2021.65,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2021-08-26,FALSE
H8N4|NA|EPI_ISL_16215439|anseriformes|canada|NA|2021-08-26,H8N4,EPI_ISL_16215439,A/Mallard/Alberta/67/2021,2021-08-26,2021.65,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2021-08-26,FALSE
H2N4|NA|EPI_ISL_16215437|anseriformes|canada|NA|2021-08-26,H2N4,EPI_ISL_16215437,A/Mallard/Alberta/200/2021,2021-08-26,2021.65,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2021-08-26,FALSE
H8N4|NA|EPI_ISL_16215560|anseriformes|canada|NA|2021-08-26,H8N4,EPI_ISL_16215560,A/Mallard/Alberta/189/2021,2021-08-26,2021.65,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2021-08-26,FALSE
H2N4|NA|EPI_ISL_16215547|anseriformes|canada|NA|2021-08-26,H2N4,EPI_ISL_16215547,A/Mallard/Alberta/132/2021,2021-08-26,2021.65,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2021-08-26,FALSE
H10N4|NA|EPI_ISL_18338443|galliformes|united_states|NA|2023-08-29,H10N4,EPI_ISL_18338443,A/pheasant/Florida/NVSL-026494-001/2023,2023-08-29,2023.66,2023-08,2023,Aves,galliformes,phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,TRUE,wild,galliformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,florida,us.fl,28.6269382846284,-82.4431243811826,NA,NA,NA,NA,2023-08-29,FALSE
H5N4|NA|EPI_ISL_6795385|anseriformes|united_states|NA|2021-08-11,H5N4,EPI_ISL_6795385,A/mallard/New_York/AH0179249/2021,2021-08-11,2021.61,2021-08,2021,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,new york,us.ny,42.9905358128524,-75.6520434129946,NA,NA,NA,NA,2021-08-11,FALSE
H8N4|NA|EPI_ISL_266500|anseriformes|united_states|NA|2015-12-05,H8N4,EPI_ISL_266500,A/northern_shoveler/California/HS206/2015,2015-12-05,2015.93,2015-12,2015,Aves,anseriformes,anatidae,spatula clypeata,northern shoveler,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,california,us.ca,37.1829246180653,-119.469343089956,NA,NA,NA,NA,2015-12-05,FALSE
H8N4|NA|EPI_ISL_328341|anseriformes|canada|NA|2017-08-12,H8N4,EPI_ISL_328341,A/mallard/Alberta/48/2017,2017-08-12,2017.61,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2017-08-12,FALSE
H7N4|NA|EPI_ISL_294167|anseriformes|united_states|NA|2016-12-03,H7N4,EPI_ISL_294167,A/long-tailed_duck/Wisconsin/16OS5291/2016,2016-12-03,2016.92,2016-12,2016,Aves,anseriformes,anatidae,clangula hyemalis,long-tailed duck,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,wisconsin,us.wi,44.627499166429,-89.7126755416022,NA,NA,NA,NA,2016-12-03,FALSE
H8N4|NA|EPI_ISL_393472|anseriformes|united_states|NA|2018-04-11,H8N4,EPI_ISL_393472,A/Mallard/Ohio/18OS1248/2018,2018-04-11,2018.27,2018-04,2018,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,ohio,us.oh,40.470536265191,-82.6389467524245,NA,NA,NA,NA,2018-04-11,FALSE
H7N4|NA|EPI_ISL_294048|anseriformes|united_states|NA|2016-12-02,H7N4,EPI_ISL_294048,A/long-tailed_duck/Wisconsin/16OS4707/2016,2016-12-02,2016.92,2016-12,2016,Aves,anseriformes,anatidae,clangula hyemalis,long-tailed duck,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,wisconsin,us.wi,44.627499166429,-89.7126755416022,NA,NA,NA,NA,2016-12-02,FALSE
H8N4|NA|EPI_ISL_381404|anseriformes|canada|NA|2017-08-13,H8N4,EPI_ISL_381404,A/mallard/Alberta/532/2017,2017-08-13,2017.61,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2017-08-13,FALSE
NA|NA|EPI_ISL_327364|anseriformes|canada|NA|2017-08-12,NA,EPI_ISL_327364,A/mallard/Alberta/260/2017,2017-08-12,2017.61,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,NA,NA,NA,NA,2017-08-12,FALSE
H8N4|NA|EPI_ISL_502683|anseriformes|france|NA|2017-08-29,H8N4,EPI_ISL_502683,A/mallard/Maine/ME-Y17-181/2017,2017-08-29,2017.66,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,NA,NA,NA,NA,2017-08-29,FALSE
H8N4|NA|EPI_ISL_502682|anseriformes|france|NA|2017-08-29,H8N4,EPI_ISL_502682,A/mallard/Maine/ME-Y17-180/2017,2017-08-29,2017.66,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,NA,NA,NA,NA,2017-08-29,FALSE
H8N4|NA|EPI_ISL_502680|anseriformes|france|NA|2017-08-29,H8N4,EPI_ISL_502680,A/mallard/Maine/ME-Y17-176/2017,2017-08-29,2017.66,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,NA,NA,NA,NA,2017-08-29,FALSE
H8N4|NA|EPI_ISL_502674|anseriformes|france|NA|2017-08-25,H8N4,EPI_ISL_502674,A/mallard/Maine/ME-Y17-135/2017,2017-08-25,2017.65,2017-08,2017,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,NA,NA,NA,NA,2017-08-25,FALSE
