tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N3|2344b|EPI_ISL_393518|unknown_avian|iran|23_13_23_2_15_21_3_14|2019-03-30,H5N3,EPI_ISL_393518,A/Avian/Iran/38AMA/2019,2019-03-30,2019-03,2019,avian other,unknown avian,NA,NA,NA,NA,wild,other,southern asia,iran,irn,32.5092139996448,54.4699733871232,NA,NA,NA,NA,NA,NA,23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,2344b,2019-03-30,cluster021,FALSE
H2N3|NA|EPI_ISL_189729|anseriformes|united_states|NA|2012-12-22,H2N3,EPI_ISL_189729,A/tufted_duck/Republic_of_Georgia/1/2012,2012-12-22,2012-12,2012,Aves,anseriformes,anatidae,aythya fuligula,tufted duck,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,georgia,us.ga,32.6403385373358,-83.4405725551842,NA,NA,NA,NA,NA,2012-12-22,clusterNA,FALSE
H7N3|NA|EPI_ISL_328157|anseriformes|mongolia|NA|2017-09-01,H7N3,EPI_ISL_328157,A/Duck/Mongolia/652/2017,2017-09-01,2017-09,2017,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-01,clusterNA,FALSE
H7N3|NA|EPI_ISL_327474|anseriformes|mongolia|NA|2017-09-01,H7N3,EPI_ISL_327474,A/Duck/Mongolia/786/2017,2017-09-01,2017-09,2017,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-01,clusterNA,FALSE
H7N3|NA|EPI_ISL_327473|anseriformes|mongolia|NA|2017-09-01,H7N3,EPI_ISL_327473,A/Duck/Mongolia/782/2017,2017-09-01,2017-09,2017,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-01,clusterNA,FALSE
H7N3|NA|EPI_ISL_327464|anseriformes|mongolia|NA|2017-09-01,H7N3,EPI_ISL_327464,A/Duck/Mongolia/751/2017,2017-09-01,2017-09,2017,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-01,clusterNA,FALSE
H7N3|NA|EPI_ISL_387968|anseriformes|egypt|NA|2016-01-28,H7N3,EPI_ISL_387968,A/teal/Egypt/MB-D-487OP/2016,2016-01-28,2016-01,2016,Aves,anseriformes,anatidae,anatidae sp. (teal sp.),teal sp.,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-28,clusterNA,FALSE
H7N3|NA|EPI_ISL_387972|anseriformes|egypt|NA|2016-03-17,H7N3,EPI_ISL_387972,A/northern_shoveler/Egypt/MB-D-690C/2016,2016-03-17,2016-03,2016,Aves,anseriformes,anatidae,spatula clypeata,northern shoveler,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-17,clusterNA,FALSE
H7N3|NA|EPI_ISL_387966|anseriformes|egypt|NA|2016-03-17,H7N3,EPI_ISL_387966,A/northern_shoveler/Egypt/MB-D-690OP/2016,2016-03-17,2016-03,2016,Aves,anseriformes,anatidae,spatula clypeata,northern shoveler,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-17,clusterNA,FALSE
H7N3|NA|EPI_ISL_387973|anseriformes|egypt|NA|2016-03-17,H7N3,EPI_ISL_387973,A/northern_shoveler/Egypt/MB-D-695C/2016,2016-03-17,2016-03,2016,Aves,anseriformes,anatidae,spatula clypeata,northern shoveler,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-17,clusterNA,FALSE
H7N3|NA|EPI_ISL_387970|anseriformes|egypt|NA|2016-03-17,H7N3,EPI_ISL_387970,A/teal/Egypt/MB-D-698C/2016,2016-03-17,2016-03,2016,Aves,anseriformes,anatidae,anatidae sp. (teal sp.),teal sp.,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-17,clusterNA,FALSE
