cluster_profile,tmrca,host_simplifiedhost
11111111,2020-06-18,anseriformes-wild
11111111,2020-01-16,anseriformes-wild
11111111,2020-06-12,human
11111111,2020-06-02,anseriformes-wild
11111111,2020-09-17,anseriformes-wild
11111111,2020-10-20,anseriformes-wild
11111111,2019-12-24,anseriformes-wild
11111111,2019-09-27,anseriformes-wild
11111111,2020-01-07,anseriformes-wild
11111111,2019-10-12,anseriformes-wild
11111111,2020-03-11,anseriformes-wild
11111111,2019-11-06,anseriformes-wild
11111111,2019-11-11,anseriformes-wild
11111111,2020-02-07,anseriformes-wild
11111111,2019-07-11,anseriformes-wild
11111111,2020-05-20,anseriformes-wild
11111111,2019-06-01,galliformes-domestic
11111111,2019-06-17,charadriiformes-wild
11111111,2019-11-05,other-bird
11111111,2018-04-23,anseriformes-wild
11111111,2020-10-16,galliformes-domestic
11111111,2020-09-11,anseriformes-wild
11111111,2020-04-18,anseriformes-wild
11111111,2019-03-26,anseriformes-wild
11111111,2020-11-03,anseriformes-wild
11111111,2020-04-23,galliformes-domestic
11111111,2019-04-18,other-bird
11111111,2020-09-29,anseriformes-wild
11111111,2020-07-13,galliformes-domestic
11111111,2020-02-02,anseriformes-wild
11111111,2020-01-08,anseriformes-wild
11111111,2020-05-02,anseriformes-wild
11111111,2020-08-27,anseriformes-wild
11111111,2019-11-22,galliformes-domestic
11111111,2020-06-15,anseriformes-wild
11111111,2020-04-13,anseriformes-wild
11111111,2019-08-18,anseriformes-wild
11111111,2020-04-30,anseriformes-wild
11111111,2019-09-06,anseriformes-wild
11111111,2019-11-16,anseriformes-wild
11111111,2020-09-21,anseriformes-wild
11111111,2018-01-27,environment
11111111,2019-03-15,anseriformes-wild
11111111,2019-11-04,other-bird
11111111,2020-04-06,anseriformes-wild
11111111,2019-12-08,anseriformes-wild
11111111,2020-07-21,other-bird
11111111,2019-09-12,charadriiformes-wild
11111111,2020-04-15,anseriformes-wild
11111111,2020-07-29,anseriformes-wild
11111111,2020-09-30,anseriformes-wild
11111111,2020-04-10,galliformes-domestic
11111111,2020-10-09,anseriformes-wild
11111111,2020-08-10,anseriformes-wild
11111111,2020-01-29,anseriformes-wild
11111111,2020-10-09,anseriformes-wild
11111111,2020-07-04,anseriformes-wild
11111111,2019-10-08,anseriformes-wild
11111111,2020-08-20,anseriformes-wild
11111111,2018-11-11,galliformes-domestic
11111111,2020-03-11,anseriformes-wild
11111111,2019-10-04,human
11111111,2020-05-08,anseriformes-wild
