tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N8|2344b|EPI_ISL_14836080|anseriformes|china|NA|2020-11-16,EPI_ISL_14836080,G29,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_G29_2020_H5N8
H5N8|2344b|EPI_ISL_14836081|anseriformes|china|NA|2020-11-16,EPI_ISL_14836081,Y26,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y26_2020_H5N8
H5N8|2344b|EPI_ISL_14836082|anseriformes|china|NA|2020-11-16,EPI_ISL_14836082,Y27,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y27_2020_H5N8
H5N8|2344b|EPI_ISL_14836083|anseriformes|china|NA|2020-11-16,EPI_ISL_14836083,Y31,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y31_2020_H5N8
H5N8|2344b|EPI_ISL_14836086|anseriformes|china|NA|2020-11-16,EPI_ISL_14836086,Y36,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y36_2020_H5N8
H5N8|2344b|EPI_ISL_14836088|anseriformes|china|NA|2020-11-16,EPI_ISL_14836088,Y48A,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y48A_2020_H5N8
H5N8|2344b|EPI_ISL_14836098|anseriformes|china|NA|2020-11-16,EPI_ISL_14836098,Y54,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y54_2020_H5N8
H5N8|2344b|EPI_ISL_14836101|anseriformes|china|NA|2020-11-16,EPI_ISL_14836101,Y57,H5N8,2020-11-16,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y57_2020_H5N8
H5N8|2344b|EPI_ISL_14836104|anseriformes|china|NA|2020-11-17,EPI_ISL_14836104,G48B,H5N8,2020-11-17,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_G48B_2020_H5N8
H5N8|2344b|EPI_ISL_14836369|anseriformes|china|NA|2020-11-17,EPI_ISL_14836369,Y48B,H5N8,2020-11-17,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y48B_2020_H5N8
