tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N1|2344b|BY1|anseriformes|china|NA|2021-12-01,NA,BY1,H5N1,2021-12-01,2021,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_whooper_swan_Sanmenxia_BY1_2021-12-01_H5N1
H5N1|2344b|TY01|anseriformes|china|NA|2021-11-16,NA,TY01,H5N1,2021-11-16,2021,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Guangdong,廣東|广东,Foshan,佛山市,"c(113.0235861, 23.2194569)",3,sea-level,A_whooper_swan_Sanmenxia_TY01_2021-11-16_H5N1
H5N1|2344b|R57|anseriformes|china|NA|2021-11-14,NA,R57,H5N1,2021-11-14,2021,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_whooper_swan_Sanmenxia_R57_2021-11-14_H5N1
H5N1|2344b|K135|anseriformes|china|NA|2022-01-28,NA,K135,H5N1,2022-01-28,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shigatse,日喀则地区,"c(88.88116, 29.2670499)",3859,high,A_bar-headed_goose_Tibet_K135_2022-01-28_H5N1
H5N1|2344b|K154|anseriformes|china|NA|2022-01-28,NA,K154,H5N1,2022-01-28,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shigatse,日喀则地区,"c(88.88116, 29.2670499)",3859,high,A_bar-headed_goose_Tibet_K154_2022-01-28_H5N1
H5N1|2344b|K312|anseriformes|china|NA|2022-01-27,NA,K312,H5N1,2022-01-27,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shigatse,日喀则地区,"c(88.936052, 29.184234)",3978,high,A_bar-headed_goose_Tibet_K312_2022-01-27_H5N1
H5N1|2344b|K339|anseriformes|china|NA|2022-01-27,NA,K339,H5N1,2022-01-27,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shigatse,日喀则地区,"c(88.936052, 29.184234)",3978,high,A_bar-headed_goose_Tibet_K339_2022-01-27_H5N1
H5N1|2344b|K363|anseriformes|china|NA|2022-01-27,NA,K363,H5N1,2022-01-27,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shigatse,日喀则地区,"c(88.936052, 29.184234)",3978,high,A_bar-headed_goose_Tibet_K363_2022-01-27_H5N1
H5N1|2344b|K565|anseriformes|china|NA|2022-01-28,NA,K565,H5N1,2022-01-28,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shigatse,日喀则地区,"c(88.936052, 29.184234)",3978,high,A_bar-headed_goose_Tibet_K565_2022-01-28_H5N1
H5N1|2344b|A624|anseriformes|china|NA|2022-07-11,NA,A624,H5N1,2022-07-11,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_bar-headed_goose_QinghaiLake_A624_2022-07-11_H5N1
H5N1|2344b|A716|anseriformes|china|NA|2022-07-11,NA,A716,H5N1,2022-07-11,2022,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_bar-headed_goose_QinghaiLake_A716_2022-07-11_H5N1
H5N1|2344b|AY37|anseriformes|china|NA|2022-07-19,NA,AY37,H5N1,2022-07-19,2022,dabbling duck sp.,anatidae sp. (dabbling duck sp.),anseriformes,anatidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_ruddy_shelduck_QinghaiLake_AY37_2022-07-19_H5N1
H5N1|2344b|AM11|podicipediformes|china|NA|2022-07-06,NA,AM11,H5N1,2022-07-06,2022,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(99.8633333, 36.9591667)",3195,high,A_great_crested_grebe_QinghaiLake_AM11_2022-07-06_H5N1
H5N1|2344b|AM12|podicipediformes|china|NA|2022-07-06,NA,AM12,H5N1,2022-07-06,2022,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(99.8633333, 36.9591667)",3195,high,A_great_crested_grebe_QinghaiLake_AM12_2022-07-06_H5N1
H5N1|2344b|AM22|podicipediformes|china|NA|2022-07-15,NA,AM22,H5N1,2022-07-15,2022,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(99.8633333, 36.9591667)",3195,high,A_great_crested_grebe_QinghaiLake_AM22_2022-07-15_H5N1
H5N1|2344b|AM62|charadriiformes|china|NA|2022-07-12,NA,AM62,H5N1,2022-07-12,2022,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.507598, 36.866536)",3195,high,A_brown-headed_gull_QinghaiLake_AM62_2022-07-12_H5N1
H5N1|2344b|AM92|charadriiformes|china|NA|2022-07-11,NA,AM92,H5N1,2022-07-11,2022,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_brown-headed_gull_QinghaiLake_AM92_2022-07-11_H5N1
H5N1|2344b|AM118|charadriiformes|china|NA|2022-07-11,NA,AM118,H5N1,2022-07-11,2022,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_brown-headed_gull_QinghaiLake_AM118_2022-07-11_H5N1
H5N1|2344b|AM137|charadriiformes|china|NA|2022-07-18,NA,AM137,H5N1,2022-07-18,2022,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_brown-headed_gull_QinghaiLake_AM137_2022-07-18_H5N1
H5N1|2344b|AM150|podicipediformes|china|NA|2022-07-18,NA,AM150,H5N1,2022-07-18,2022,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_crested_grebe_QinghaiLake_AM150_2022-07-18_H5N1
H5N1|2344b|AM161|charadriiformes|china|NA|2022-07-18,NA,AM161,H5N1,2022-07-18,2022,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_brown-headed_gull_QinghaiLake_AM161_2022-07-18_H5N1
H5N1|2344b|AM168|podicipediformes|china|NA|2022-07-16,NA,AM168,H5N1,2022-07-16,2022,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_crested_grebe_QinghaiLake_AM168_2022-07-16_H5N1
H5N1|2344b|AM173|NA|china|NA|2022-07-16,NA,AM173,H5N1,2022-07-16,2022,NA,NA,NA,NA,NA,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,NA
H5N1|2344b|AM197|charadriiformes|china|NA|2022-07-16,NA,AM197,H5N1,2022-07-16,2022,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_brown-headed_gull_QinghaiLake_AM197_2022-07-16_H5N1
H5N1|2344b|X30|anseriformes|china|NA|2023-07-12,NA,X30,H5N1,2023-07-12,2023,dabbling duck sp.,anatidae sp. (dabbling duck sp.),anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Ngari,阿里地区,"c(84.9609464, 31.2328288)",4622,high,A_ruddy_shelduck_Tibet_X30_2023-7-12_H5N1
H5N1|2344b|X38|anseriformes|china|NA|2023-07-12,NA,X38,H5N1,2023-07-12,2023,dabbling duck sp.,anatidae sp. (dabbling duck sp.),anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Ngari,阿里地区,"c(84.9609464, 31.2328288)",4622,high,A_ruddy_shelduck_Tibet_X38_2023-7-12_H5N1
H5N1|2344b|X92|anseriformes|china|NA|2023-07-12,NA,X92,H5N1,2023-07-12,2023,dabbling duck sp.,anatidae sp. (dabbling duck sp.),anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Ngari,阿里地区,"c(84.9609464, 31.2328288)",4622,high,A_ruddy_shelduck_Tibet_X92_2023-7-12_H5N1
H5N1|2344b|X114|charadriiformes|china|NA|2023-07-11,NA,X114,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_X114_2023-7-11_H5N1
H5N1|2344b|XR2|charadriiformes|china|NA|2023-07-11,NA,XR2,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR2_2023-7-11_H5N1
H5N1|2344b|XR13|charadriiformes|china|NA|2023-07-11,NA,XR13,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR13_2023-7-11_H5N1
H5N1|2344b|XR15|charadriiformes|china|NA|2023-07-11,NA,XR15,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR15_2023-7-11_H5N1
H5N1|2344b|XR28|charadriiformes|china|NA|2023-07-12,NA,XR28,H5N1,2023-07-12,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Ngari,阿里地区,"c(84.9609464, 31.2328288)",4622,high,A_brown-headed_gull_Tibet_XR28_2023-7-12_H5N1
H5N1|2344b|XR35|charadriiformes|china|NA|2023-07-11,NA,XR35,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR35_2023-7-11_H5N1
H5N1|2344b|XR37|charadriiformes|china|NA|2023-07-11,NA,XR37,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR37_2023-7-11_H5N1
H5N1|2344b|XR38|charadriiformes|china|NA|2023-07-11,NA,XR38,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR38_2023-7-11_H5N1
H5N1|2344b|XR41|charadriiformes|china|NA|2023-07-11,NA,XR41,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR41_2023-7-11_H5N1
H5N1|2344b|XR49|charadriiformes|china|NA|2023-07-12,NA,XR49,H5N1,2023-07-12,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Ngari,阿里地区,"c(84.9609464, 31.2328288)",4622,high,A_brown-headed_gull_Tibet_XR49_2023-7-12_H5N1
H5N1|2344b|XR52|charadriiformes|china|NA|2023-07-11,NA,XR52,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR52_2023-7-11_H5N1
H5N1|2344b|XR53|charadriiformes|china|NA|2023-07-11,NA,XR53,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR53_2023-7-11_H5N1
H5N1|2344b|XR55|charadriiformes|china|NA|2023-07-11,NA,XR55,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR55_2023-7-11_H5N1
H5N1|2344b|XR56|charadriiformes|china|NA|2023-07-11,NA,XR56,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR56_2023-7-11_H5N1
H5N1|2344b|XR57|charadriiformes|china|NA|2023-07-11,NA,XR57,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR57_2023-7-11_H5N1
H5N1|2344b|XR67|charadriiformes|china|NA|2023-07-11,NA,XR67,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR67_2023-7-11_H5N1
H5N1|2344b|XR71|charadriiformes|china|NA|2023-07-11,NA,XR71,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR71_2023-7-11_H5N1
H5N1|2344b|XR72|charadriiformes|china|NA|2023-07-11,NA,XR72,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR72_2023-7-11_H5N1
H5N1|2344b|XR73|charadriiformes|china|NA|2023-07-11,NA,XR73,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR73_2023-7-11_H5N1
H5N1|2344b|XR74|charadriiformes|china|NA|2023-07-11,NA,XR74,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR74_2023-7-11_H5N1
H5N1|2344b|XR78|charadriiformes|china|NA|2023-07-11,NA,XR78,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR78_2023-7-11_H5N1
H5N1|2344b|XR79|charadriiformes|china|NA|2023-07-11,NA,XR79,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR79_2023-7-11_H5N1
H5N1|2344b|XR89|charadriiformes|china|NA|2023-07-11,NA,XR89,H5N1,2023-07-11,2023,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(87.1223362, 31.024502)",4682,high,A_brown-headed_gull_Tibet_XR89_2023-7-11_H5N1
H5N1|2344b|SR54|anseriformes|china|NA|2022-12-29,NA,SR54,H5N1,2022-12-29,2022,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.14693, 34.76073)",345,sea-level,A_whooper_swan_Sanmenxia_SR54_2022-12-29_H5N1
H5N1|2344b|SR67|anseriformes|china|NA|2022-12-27,NA,SR67,H5N1,2022-12-27,2022,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.14693, 34.76073)",345,sea-level,A_whooper_swan_Sanmenxia_SR67_2022-12-27_H5N1
H5N1|2344b|SR71|anseriformes|china|NA|2022-12-27,NA,SR71,H5N1,2022-12-27,2022,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.14693, 34.76073)",345,sea-level,A_whooper_swan_Sanmenxia_SR71_2022-12-27_H5N1
H5N1|2344b|SR77|anseriformes|china|NA|2022-12-27,NA,SR77,H5N1,2022-12-27,2022,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.14693, 34.76073)",345,sea-level,A_whooper_swan_Sanmenxia_SR77_2022-12-27_H5N1
H5N1|2344b|T1388|anseriformes|china|NA|2022-04-29,NA,T1388,H5N1,2022-04-29,2022,taiga/tundra bean-goose,anser fabalis/serrirostris,anseriformes,anatidae,Aves,China,Nei Mongol,內蒙古自治區|内蒙古自治区,Xing'an,兴安盟,"c(123.0288, 46.28811)",138,sea-level,A_bean_goose_Tumuji_T1388_2022-4-29_H5N1
H5N1|2344b|6-Y76|NA|china|NA|2023-03-08,NA,6-Y76,H5N1,2023-03-08,2023,aves,NA,NA,NA,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Zhongwei,中卫市,"c(105.68518, 37.4915699)",1183,low,A_wild_bird_Ningxia_6-Y76_2023-3-8_H5N1
H5N1|2344b|C7|anseriformes|china|NA|2024-02-18,NA,C7,H5N1,2024-02-18,2024,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Shandong,山東|山东,Weihai,威海市,"c(122.48628, 37.1652299)",32,sea-level,A_whooper_swan_Rongcheng_C7_2024-2-18_H5N1
H5N1|2344b|C9|anseriformes|china|NA|2024-02-18,NA,C9,H5N1,2024-02-18,2024,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Shandong,山東|山东,Weihai,威海市,"c(122.48628, 37.1652299)",32,sea-level,A_whooper_swan_Rongcheng_C9_2024-2-18_H5N1
H5N1|2344b|C10|anseriformes|china|NA|2024-02-18,NA,C10,H5N1,2024-02-18,2024,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Shandong,山東|山东,Weihai,威海市,"c(122.48628, 37.1652299)",32,sea-level,A_whooper_swan_Rongcheng_C10_2024-2-18_H5N1
H5N1|2344b|4-9|anseriformes|china|NA|2024-02-26,NA,4-9,H5N1,2024-02-26,2024,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Shandong,山東|山东,Weihai,威海市,"c(122.48628, 37.1652299)",32,sea-level,A_whooper_swan_Rongcheng_4-9_2024-2-26_H5N1
H5N1|2344b|XB2-8|anseriformes|china|NA|2024-06-08,NA,XB2-8,H5N1,2024-06-08,2024,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_bar-headed_goose_Tibet_XB2-8_2024-6-8_H5N1
H5N1|2344b|XB3-2|anseriformes|china|NA|2024-06-08,NA,XB3-2,H5N1,2024-06-08,2024,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_bar-headed_goose_Tibet_XB3-2_2024-6-8_H5N1
H5N1|2344b|XB3-3|anseriformes|china|NA|2024-06-08,NA,XB3-3,H5N1,2024-06-08,2024,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_bar-headed_goose_Tibet_XB3-3_2024-6-8_H5N1
H5N1|2344b|XP1-5|podicipediformes|china|NA|2024-06-09,NA,XP1-5,H5N1,2024-06-09,2024,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_great_crested_grebe_Tibet_XP1-5_2024-6-9_H5N1
H5N1|2344b|XP1-8|podicipediformes|china|NA|2024-06-09,NA,XP1-8,H5N1,2024-06-09,2024,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_great_crested_grebe_Tibet_XP1-8_2024-6-9_H5N1
H5N1|2344b|XP2-2|podicipediformes|china|NA|2024-06-09,NA,XP2-2,H5N1,2024-06-09,2024,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_great_crested_grebe_Tibet_XP2-2_2024-6-9_H5N1
H5N1|2344b|XP2-5|podicipediformes|china|NA|2024-06-09,NA,XP2-5,H5N1,2024-06-09,2024,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_great_crested_grebe_Tibet_XP2-5_2024-6-9_H5N1
H5N1|2344b|XZ10-5|charadriiformes|china|NA|2024-06-08,NA,XZ10-5,H5N1,2024-06-08,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_brown-headed_gull_Tibet_XZ10-5_2024-6-8_H5N1
H5N1|2344b|XZ11-3|charadriiformes|china|NA|2024-06-09,NA,XZ11-3,H5N1,2024-06-09,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_brown-headed_gull_Tibet_XZ11-3_2024-6-9_H5N1
H5N1|2344b|XZ11-8|charadriiformes|china|NA|2024-06-09,NA,XZ11-8,H5N1,2024-06-09,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_brown-headed_gull_Tibet_XZ11-8_2024-6-9_H5N1
H5N1|2344b|XZ12-4|charadriiformes|china|NA|2024-06-09,NA,XZ12-4,H5N1,2024-06-09,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_brown-headed_gull_Tibet_XZ12-4_2024-6-9_H5N1
H5N1|2344b|XZ12-8|charadriiformes|china|NA|2024-06-09,NA,XZ12-8,H5N1,2024-06-09,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(90.6393702, 30.6644393)",4725,high,A_brown-headed_gull_Tibet_XZ12-8_2024-6-9_H5N1
H5N1|2344b|XZ2-4|charadriiformes|china|NA|2024-06-08,NA,XZ2-4,H5N1,2024-06-08,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_brown-headed_gull_Tibet_XZ2-4_2024-6-8_H5N1
H5N1|2344b|XZ6-4|charadriiformes|china|NA|2024-06-08,NA,XZ6-4,H5N1,2024-06-08,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_brown-headed_gull_Tibet_XZ6-4_2024-6-8_H5N1
H5N1|2344b|XZ8-1|charadriiformes|china|NA|2024-06-08,NA,XZ8-1,H5N1,2024-06-08,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Xizang,西藏自治區|西藏自治区,Nagchu,那曲地区,"c(92.05136, 31.4761399)",4539,high,A_brown-headed_gull_Tibet_XZ8-1_2024-6-8_H5N1
H5N1|2344b|Y1-4|charadriiformes|china|NA|2024-05-16,NA,Y1-4,H5N1,2024-05-16,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_pallas’s_gull_Qinghai_Y1-4_2024-5-16_H5N1
H5N1|2344b|Y2-3|charadriiformes|china|NA|2024-05-16,NA,Y2-3,H5N1,2024-05-16,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_pallas’s_gull_Qinghai_Y2-3_2024-5-16_H5N1
H5N1|2344b|Y3-3|charadriiformes|china|NA|2024-05-16,NA,Y3-3,H5N1,2024-05-16,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_pallas’s_gull_Qinghai_Y3-3_2024-5-16_H5N1
H5N1|2344b|Y4-8|charadriiformes|china|NA|2024-05-16,NA,Y4-8,H5N1,2024-05-16,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_pallas’s_gull_Qinghai_Y4-8_2024-5-16_H5N1
