weighted_diff_coeff,median_anseriformes_wild,median_charadriiformes_wild,segment,collection_regionname,season
4380.534,0.23296307139422368,0.00219630502020429,mp,asia,migrating_spring
0,0.08302283294434964,0,mp,asia,breeding
0,0.06551505265538005,0,mp,europe,migrating_autumn
0,0.3135044765419899,0,mp,europe,overwintering
0,0.11919052266030404,0,mp,asia,breeding
203739.9,0.27992783932758325,0,mp,asia,migrating_spring
0,0.1538831573837003,0,mp,asia,overwintering
0,0,0,mp,europe,migrating_spring
0,0,0.18497485976889383,mp,europe,migrating_autumn
0,0,0.1691031108537402,mp,europe,overwintering
419655.3,0,0.3398152219074486,mp,europe,migrating_autumn
130747,0.5170372080976824,0.08178299271189537,mp,europe,overwintering
5874.822,0.02706025643769827,0,mp,europe,migrating_autumn
0,3.760149642566635,0,mp,europe,overwintering
0,0.1929012661064089,0,mp,europe,migrating_spring
11093.1,0,0,mp,europe,overwintering
0,0.3718461788112677,0,mp,europe,migrating_autumn
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,migrating_autumn
166440.6,0,0,nx,europe,breeding
35923.6,0,0,nx,europe,breeding
201314.1,0,0,nx,europe,breeding
0,0,0,nx,europe,migrating_autumn
3110.888,0,0,nx,europe,overwintering
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,overwintering
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,migrating_spring
299308.7,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,overwintering
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,overwintering
272222.7,0,0,nx,europe,breeding
270409.4,0,0,nx,europe,breeding
0,0,0,nx,europe,overwintering
0,0,0,nx,europe,breeding
140050.3,0,0,nx,europe,migrating_autumn
6464.782,0,0,nx,europe,breeding
5296.578,0,0,nx,europe,breeding
0,0,0,nx,europe,breeding
15391.21,0,0,nx,europe,breeding
0,0,0,nx,europe,migrating_spring
113888.1,0,0,nx,europe,migrating_autumn
148158,0,0,nx,europe,overwintering
93514.86,0,0,nx,europe,migrating_autumn
184531.6,0,0,nx,europe,overwintering
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,breeding
0,0,0,nx,central & northern america,overwintering
177029.6,0,0,nx,europe,breeding
0,0,0,nx,asia,migrating_autumn
120109.1,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,breeding
3051.296,0,0,nx,europe,overwintering
127038.5,0,0,nx,europe,breeding
80742.26,0,0,nx,europe,migrating_autumn
187229.5,0,0,nx,europe,migrating_autumn
171182,0,0,nx,europe,breeding
16807.3,0,0,nx,europe,overwintering
232449.5,0,0,nx,europe,migrating_autumn
110407.8,0,0,nx,europe,migrating_autumn
1617.051,0,0,nx,europe,overwintering
155843.8,0,0,nx,europe,migrating_autumn
0,0,0,nx,europe,migrating_spring
0,0,0,nx,europe,migrating_spring
8946.725,0,0,nx,asia,breeding
2430.689,0,0,nx,europe,breeding
79936.97,0,0,nx,europe,overwintering
41689.63,0,0,nx,europe,overwintering
0,0,0,nx,europe,migrating_spring
0,0,0,nx,europe,overwintering
0,0,0,nx,europe,overwintering
50091.38,0,0,nx,asia,breeding
0,0,0,nx,europe,migrating_autumn
0,10.89242998950179,0,np,europe,migrating_spring
0,11.610790396187992,0,np,europe,migrating_spring
149567.1,0,0.655127087544578,np,europe,breeding
5685.506,0,0,np,europe,overwintering
2992.88,0,0,np,europe,overwintering
0,9.83384079448932,0,np,asia,migrating_autumn
31293.68,2.3527720912274805,0,np,europe,overwintering
0,0.7054605378253207,0,np,europe,breeding
0,0.7931317707021215,0,np,europe,breeding
740.4561,0,0,np,europe,breeding
12214.33,3.9787234393384967,0,np,europe,breeding
0,5.524086574789553,0,np,europe,migrating_autumn
18602.38,0,0,np,europe,migrating_autumn
0,1.058792469031335,0,np,europe,overwintering
0,0.6699660790838671,0,np,europe,overwintering
3535.278,3.5722057450297804,0,np,europe,overwintering
151364.2,4.057300867493506,1.8910391302653071,np,europe,overwintering
0,0,0.973230911087212,np,europe,migrating_spring
104984.5,0,2.9250428131581554,np,europe,breeding
0,4.77214808785282,0,np,europe,migrating_spring
0,3.1749561457765765,0,np,europe,migrating_autumn
67317.95,0,2.360425905620131,np,europe,overwintering
0,0,5.957399094392198,np,europe,breeding
213473.4,0.14582037437145523,0,np,europe,breeding
8409.905,3.7166851661168376,0,np,europe,migrating_autumn
0,0,0,np,europe,overwintering
383393,0.4280807382608476,0,np,europe,migrating_autumn
0,0.7011205366822342,0,np,europe,migrating_autumn
10871.32,0,0,np,europe,breeding
14662.85,0,0,np,europe,breeding
0,0,0,np,europe,breeding
56439.48,3.383070954238045,0,np,europe,migrating_autumn
54625.34,0.13363256166933546,0,np,europe,overwintering
0,2.930694754210501,0,np,europe,migrating_spring
507243.9,0,2.98883087323724,np,europe,migrating_autumn
110181.9,0,0.2075518331734276,np,europe,migrating_autumn
0,0.7816444598686516,0,np,europe,breeding
237417.1,1.217770202904287,0,np,europe,overwintering
192369.4,0.8359289748370191,0,np,asia,overwintering
