tipnames	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_7381026|galliformes|china|3_2_3_1_3_2_1_2|2021-03	eastern asia	china	profile0002	galliformes-domestic	41.2987124958383	122.600275282862
H5N8|2344b|EPI_ISL_7381103|anseriformes|china|3_14_3_1_3_2_1_2|2021-03	eastern asia	china	profile0002	anseriformes-wild	36.3536638777003	118.136153809721
H5N8|2344b|EPI_ISL_8215653|anseriformes|china|3_2_3_1_3_2_1_2|2021-05-15	eastern asia	china	profile0002	anseriformes-wild	31.7354796576819	88.2546629070738
H5N8|2344b|EPI_ISL_5260448|anseriformes|china|3_2_3_1_3_2_1_2|2021-03-19	eastern asia	china	profile0002	anseriformes-wild	27.5978523947888	111.713471439142
H5N8|2344b|EPI_ISL_6816058|environment|china|NA|2021-11-01	eastern asia	china	profile0002	environment	36.6848135465548	103.513718494908
H5N8|2344b|EPI_ISL_1009692|anseriformes|south_korea|3_2_3_1_3_2_1_2|2021-01-05	eastern asia	south korea	profile0002	anseriformes-wild	36.737850075983	127.830446360213
H5N8|2344b|EPI_ISL_985205|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-12-24	eastern asia	south korea	profile0002	anseriformes-wild	36.5298116066164	126.847825775926
H5N8|2344b|EPI_ISL_china_2|galliformes|china|3_2_3_1_3_2_1_2|2021-05-31	eastern asia	china	profile0002	galliformes-domestic	31.8128943962267	117.235219497068
H5N8|2344b|EPI_ISL_5260469|anseriformes|china|3_2_3_1_3_2_1_2|2021-01-26	eastern asia	china	profile0002	anseriformes-wild	32.9645721858222	119.470797338049
H5N8|2344b|EPI_ISL_18012466|galliformes|china|3_2_3_1_3_2_1_2|2021-11-09	eastern asia	china	profile0002	galliformes-wild	39.5182972347816	116.100714730353
H5N8|2344b|EPI_ISL_7192735|anseriformes|china|3_2_3_1_3_2_1_2|2021-01	eastern asia	china	profile0002	anseriformes-wild	30.6066264180489	102.711402322843
H5N8|2344b|EPI_ISL_985207|galliformes|south_korea|3_2_3_1_3_2_1_2|2020-12-25	eastern asia	south korea	profile0002	galliformes-domestic	36.3474789243827	128.748576389097
H5N8|2344b|EPI_ISL_5260444|anseriformes|china|3_2_3_1_3_2_1_2|2021-03-09	eastern asia	china	profile0002	anseriformes-wild	27.6016362656629	115.709570895796
H5N8|2344b|EPI_ISL_1273409|galliformes|japan|3_2_3_1_3_2_1_2|2021-02-05	eastern asia	japan	profile0002	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_1081353|anseriformes|japan|3_2_3_1_3_2_1_2|2021-02-14	eastern asia	japan	profile0002	anseriformes-wild	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_978916|anseriformes|japan|3_2_3_1_3_2_1_2|2021-02-01	eastern asia	japan	profile0002	anseriformes-wild	36.3027610877484	140.318971903473
H5N8|2344b|EPI_ISL_16215736|galliformes|china|3_2_3_1_3_2_1_2|2020-12	eastern asia	china	profile0002	galliformes-domestic	36.6848135465548	103.513718494908
H5N8|2344b|EPI_ISL_14770163|gruiformes|china|3_2_3_1_3_2_1_2|2020-12-31	eastern asia	china	profile0002	other-bird	36.3536638777003	118.136153809721
H5N8|2344b|EPI_ISL_5260450|anseriformes|china|3_2_3_1_3_2_1_2|2021-03-09	eastern asia	china	profile0002	anseriformes-wild	29.1745873279179	120.086382279697
H5N8|2344b|EPI_ISL_985184|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-12-08	eastern asia	south korea	profile0002	anseriformes-wild	34.8733358026855	126.897223705092
H5N8|2344b|EPI_ISL_985199|galliformes|south_korea|3_2_3_1_3_2_1_2|2020-12-22	eastern asia	south korea	profile0002	galliformes-domestic	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_7379509|anseriformes|china|3_12_3_1_3_2_1_2|2021-01	eastern asia	china	profile0002	anseriformes-wild	23.33624359406	113.398153372919
H5N8|2344b|EPI_ISL_7380253|anseriformes|china|3_12_3_1_3_2_1_2|2021-02	eastern asia	china	profile0002	anseriformes-wild	32.9645721858222	119.470797338049
H5N8|2344b|EPI_ISL_2685847|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-11	eastern asia	china	profile0002	anseriformes-wild	30.9806813015582	112.277189482252
H5N8|2344b|EPI_ISL_1041135|galliformes|japan|3_2_3_1_3_2_1_2|2021-02-08	eastern asia	japan	profile0002	galliformes-domestic	33.9191788356518	134.242093496813
H5N8|2344b|EPI_ISL_1041131|galliformes|japan|3_2_3_1_3_2_1_2|2021-02-10	eastern asia	japan	profile0002	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_17086350|galliformes|japan|NA|2021-02-11	eastern asia	japan	profile0002	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_17805905|anseriformes|japan|3_2_3_1_3_2_1_2|2021-01-16	eastern asia	japan	profile0002	anseriformes-wild	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_977599|anseriformes|china|3_2_3_1_3_2_1_2|2020-12-21	eastern asia	china	profile0002	anseriformes-wild	40.1838367941588	116.40878248942
H5N8|2344b|EPI_ISL_5260462|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-10	eastern asia	china	profile0002	anseriformes-wild	37.5496375119255	112.274268590565
H5N8|2344b|EPI_ISL_14822356|anseriformes|china|3_2_3_1_3_2_1_2|2021-03-11	eastern asia	china	profile0002	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_14822452|anseriformes|china|NA|2021-03-12	eastern asia	china	profile0002	anseriformes-wild	31.7354796576819	88.2546629070738
H5N8|2344b|EPI_ISL_14823421|anseriformes|china|NA|2021-01-27	eastern asia	china	profile0002	anseriformes-wild	30.9806813015582	112.277189482252
H5N8|2344b|EPI_ISL_14835963|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-11	eastern asia	china	profile0002	anseriformes-wild	33.8761853651454	113.614527263456
H5N8|2344b|EPI_ISL_1009685|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-12-30	eastern asia	south korea	profile0002	anseriformes-wild	35.7159281817874	127.140659781938
H5N8|2344b|EPI_ISL_1009710|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-11-17	eastern asia	south korea	profile0002	anseriformes-wild	33.3869876346889	126.553618799527
H5N8|2344b|EPI_ISL_17086349|galliformes|japan|NA|2021-02-08	eastern asia	japan	profile0002	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_17086338|anseriformes|japan|NA|2021-01-21	eastern asia	japan	profile0002	anseriformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_1760447|anseriformes|china|3_2_3_1_3_2_1_2|2020-11-10	eastern asia	china	profile0002	anseriformes-wild	35.1531910315733	108.845281415025
H5N8|2344b|EPI_ISL_14840053|anseriformes|china|NA|2021-01-21	eastern asia	china	profile0002	anseriformes-wild	33.8761853651454	113.614527263456
H5N8|2344b|EPI_ISL_625672|anseriformes|china|3_2_3_1_3_2_1_2|2020-10-17	eastern asia	china	profile0002	anseriformes-wild	44.083329648604	113.188484632426
