id,tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number,collection.datemonth,group,location_code,todrop
pb1_europe,H5N8.2344b.EPI_ISL_417414.accipitriformes.germany.6_1_5_2_1_3_1_2.2020-03-20,H5N8,EPI_ISL_417414,a/buzzard/germany-sn/ai00285/2020,2020-03-20,2020.22,2020-03,2020,Aves,accipitriformes,accipitridae,buteo buteo,common buzzard,TRUE,wild,other,western europe,germany,deu,51.0533277435649,10.373650933319,sachsen,de.sn,51.0528694457593,13.3447264729352,a,2020-12,2344b,Europe / Germany / Saxony / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-03-20,pb1,FALSE,pb1,profile001,2020-03-01,1,germany,keep
pb1_europe,H5N8.2344b.EPI_ISL_405813.accipitriformes.poland.6_1_5_2_1_3_1_2.2020-01-06,H5N8,EPI_ISL_405813,a/hawk/poland/003/2020,2020-01-06,2020.01,2020-01,2020,Aves,accipitriformes,accipitridae,accipitridae sp. (hawk sp.),hawk sp.,TRUE,wild,other,eastern europe,poland,pol,52.1141994014432,19.4236724631525,lubelskie,na,51.2170859712694,22.9017240742201,a,2020-02,2344b,Europe / Poland / Lublin Voivodeship / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-01-06,pb1,FALSE,pb1,profile001,2020-01-01,1,poland,keep
pb1_europe,H5N2.2344b.EPI_ISL_503969.galliformes.bulgaria.1_1_41_12_24_42_11_7.2020-02-21,H5N2,EPI_ISL_503969,a/chicken/bulgaria/77_20vir1727/2020,2020-02-21,2020.14,2020-02,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern europe,bulgaria,bgr,42.7584172195881,25.2179149681535,NA,NA,NA,NA,a,2020-08,2344b,Europe / Bulgaria / NA / NA / NA,1_1_41_12_24_42_11_7,NA,202,minor,#cc6669,2020-02-21,pb1,FALSE,pb1,profile001,2020-02-01,2,bulgaria,keep
pb1_europe,H5N8.2344b.EPI_ISL_1719914.anseriformes.bulgaria.3_2_3_1_1_2_1_2.2021-02-04,H5N8,EPI_ISL_1719914,a/pekin_duck/bulgaria/48-3_21vir1454-7/2021,2021-02-04,2021.09,2021-02,2021,Aves,anseriformes,anatidae,anas platyrhynchos (domestic type),mallard (domestic type),TRUE,domestic,anseriformes-domestic,eastern europe,bulgaria,bgr,42.7584172195881,25.2179149681535,pleven,bg.pv,43.4863324718956,24.6106292568625,a,2021-05,2344b,Europe / Bulgaria / Slavyanovo / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2021-02-04,pb1,FALSE,pb1,profile002,2021-02-01,3,bulgaria,keep
pb1_europe,H5N8.2344b.EPI_ISL_5123578.anseriformes.germany.3_2_3_1_1_2_1_2.2021-03-18,H5N8,EPI_ISL_5123578,a/domestic_goose/germany-ni/ai03093/2021,2021-03-18,2021.21,2021-03,2021,Aves,anseriformes,anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),TRUE,domestic,anseriformes-domestic,western europe,germany,deu,51.0533277435649,10.373650933319,niedersachsen,de.ni,52.7642105761026,9.16783937293005,a,2021-11,2344b,Europe / Germany / Lower Saxony / Vechta / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2021-03-18,pb1,FALSE,pb1,profile002,2021-03-01,3,germany,keep
pb1_europe,H5N8.2344b.EPI_ISL_1240998.anseriformes.russia.3_2_1_1_1_2_1_2.2020-08-29,H5N8,EPI_ISL_1240998,a/mallard/novosibirsk_region/3509k/2020,2020-08-29,2020.66,2020-08,2020,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,a,2020-35,2344b,Europe / Russia / Novosibirsk / NA / NA,3_2_1_1_1_2_1_2,NA,1,minor,#99bbcc,2020-08-29,pb1,FALSE,pb1,profile002,2020-08-01,3,novosibirsk,keep
pb1_europe,H5N8.2344b.EPI_ISL_644125.anseriformes.russia.3_2_2_1_1_2_1_2.2020-08-17,H5N8,EPI_ISL_644125,a/goose/omsk/0111/2020,2020-08-17,2020.63,2020-08,2020,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,central asia,russia,rus,66.0376616061812,95.7970903417469,omsk,ru.om,56.0596108837778,73.3669499849514,a,2020-34,2344b,Europe / Russia / Omsk Oblast / Omsk / NA,3_2_2_1_1_2_1_2,NA,1,major,#6687cc,2020-08-17,pb1,FALSE,pb1,profile002,2020-08-01,3,omsk,keep
pb1_europe,H5N8.2344b.EPI_ISL_1307716.anseriformes.sweden.3_2_2_1_1_35_1_2.2021-03-02,H5N8,EPI_ISL_1307716,a/mute_swan/sweden/sva210303sz0380/kn000800/st/2021,2021-03-02,2021.16,2021-03,2021,Aves,anseriformes,anatidae,cygnus olor,mute swan,TRUE,wild,anseriformes-wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,stockholm,se.st,59.4623673036598,18.1712252623315,a,2021-09,2344b,Europe / Sweden / Stockholms Lan / Sodertalje Kommun / NA,3_2_2_1_1_35_1_2,NA,168,major,#3633cc,2021-03-02,pb1,FALSE,pb1,profile002,2021-03-01,3,sweden,keep
pb1_europe,H5N5.2344b.EPI_ISL_956409.anseriformes.italy.3_2_2_1_1_7_1_2.2020-11-28,H5N5,EPI_ISL_956409,a/common_teal/italy/20vir7439-190/2020,2020-11-28,2020.91,2020-11,2020,Aves,anseriformes,anatidae,anas crecca,green-winged teal,TRUE,wild,anseriformes-wild,southern europe,italy,ita,42.7080607219025,12.208345049127,veneto,na,45.6595758067318,11.8428083995249,a,2020-48,2344b,Europe / Italy / Rovigo / NA / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,major,#ab99cc,2020-11-28,pb1,FALSE,pb1,profile002,2020-11-01,3,italy,keep
pb1_europe,H5N5.2344b.EPI_ISL_641378.anseriformes.netherlands.3_2_2_1_1_7_1_2.2020-11-07,H5N5,EPI_ISL_641378,a/greater_white-fronted_goose/netherlands/20017403-004/2020,2020-11-07,2020.85,2020-11,2020,Aves,anseriformes,anatidae,anser albifrons,greater white-fronted goose,TRUE,wild,anseriformes-wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,zuid-holland,na,51.9374604216783,4.46477045234472,a,2020-45,2344b,Europe / Netherlands / South Holland / Gemeente Rijswijk / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,major,#ab99cc,2020-11-07,pb1,FALSE,pb1,profile002,2020-11-01,3,netherlands,keep
