name,isolate_id,isolate_name,subtype,location,host,date,domestic_status,clade,date_complete,date_frac,date_year,date_year_month,date_yday,date_year_week,location_1,location_2,location_3,location_4,location_5,location_n,location_c1,location_c2,host_meta,host_order,domestic_wild,host_class,cluster_pb2,cluster_pb1,cluster_pa,cluster_ha,cluster_np,cluster_na,cluster_mp,cluster_ns,cluster_profile,profile_lab,cluster_genome
EPI_ISL_china_12|H5N2|a/duck/hunan/01.26_yywlp-o8/2022|2022-01-26|2022.068,EPI_ISL_china_12,A/duck/Hunan/01.26_YYWLP-O8/2022,H5N2,Asia / China / Hunan,duck,26/01/2022,domestic,NA,TRUE,2022.068,2022,2022-01,26,2022.4,Asia,China,Hunan,NA,NA,hunan,hunan,hunan,duck,Anseriformes,domestic,Anseriformes domestic,3,14,3,1,15,22,1,2,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101
EPI_ISL_china_13|H5N2|a/duck/hunan/01.26_yywlp-o9/2022|2022-01-26|2022.068,EPI_ISL_china_13,A/duck/Hunan/01.26_YYWLP-O9/2022,H5N2,Asia / China / Hunan,duck,26/01/2022,domestic,NA,TRUE,2022.068,2022,2022-01,26,2022.4,Asia,China,Hunan,NA,NA,hunan,hunan,hunan,duck,Anseriformes,domestic,Anseriformes domestic,3,14,3,1,15,22,1,2,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101
EPI_ISL_china_18|H5N1|a/bird/zhejiang/k21/2023|2023-01-01|2023,EPI_ISL_china_18,A/Bird/zhejiang/K21/2023,H5N1,Asia / China / Zhejiang,bird,01/01/2023,wild,NA,TRUE,2023,2023,2023-01,1,2023.1,Asia,China,Zhejiang,NA,NA,zhejiang,zhejiang,zhejiang,bird,unknown avian,wild,Avian other,22,1,12,1,6,1,1,18,22_1_12_1_6_1_1_18,H5N1/2022/R16_Asia,80
EPI_ISL_china_19|H5N1|a/bird/zhejiang/g22/2023|2023-01-02|2023.003,EPI_ISL_china_19,A/Bird/zhejiang/G22/2023,H5N1,Asia / China / Zhejiang,bird,02/01/2023,wild,NA,TRUE,2023.003,2023,2023-01,2,2023.1,Asia,China,Zhejiang,NA,NA,zhejiang,zhejiang,zhejiang,bird,unknown avian,wild,Avian other,22,1,12,1,6,1,1,18,22_1_12_1_6_1_1_18,H5N1/2022/R16_Asia,80
EPI_ISL_china_23|H5N1|a/brown-headed_gull/qinghai/06-zz-c/2022|2022-07-22|2022.553,EPI_ISL_china_23,A/Brown-headed_gull/Qinghai/06-ZZ-C/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_24|H5N1|a/brown-headed_gull/qinghai/06-zz-n/2022|2022-07-22|2022.553,EPI_ISL_china_24,A/Brown-headed_gull/Qinghai/06-ZZ-N/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_25|H5N1|a/brown-headed_gull/qinghai/07-zz-x/2022|2022-07-20|2022.548,EPI_ISL_china_25,A/Brown-headed_gull/Qinghai/07-ZZ-X/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,20/07/2022,wild,NA,TRUE,2022.548,2022,2022-07,201,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_26|H5N1|a/crested_grebe/qinghai/10-zz-c/2022|2022-07-15|2022.534,EPI_ISL_china_26,A/Crested_grebe/Qinghai/10-ZZ-C/2022,H5N1,Asia / China / Qinghai,crested_grebe,15/07/2022,wild,NA,TRUE,2022.534,2022,2022-07,196,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,crested_grebe,Podicipediformes,wild,Avian other,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_27|H5N1|a/brown-headed_gull/qinghai/11-zz-x/2022|2022-07-23|2022.556,EPI_ISL_china_27,A/Brown-headed_gull/Qinghai/11-ZZ-X/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,23/07/2022,wild,NA,TRUE,2022.556,2022,2022-07,204,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_28|H5N1|a/crested_grebe/qinghai/03-zz-x/2022|2022-07-21|2022.551,EPI_ISL_china_28,A/Crested_grebe/Qinghai/03-ZZ-X/2022,H5N1,Asia / China / Qinghai,crested_grebe,21/07/2022,wild,NA,TRUE,2022.551,2022,2022-07,202,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,crested_grebe,Podicipediformes,wild,Avian other,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
