# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 03:11:02 BST 2024 [seed=1724119862232]
# -threads 2 -beagle_thread_count 2 n6_northamerica_subsampled_relaxLn_Skygrid6-24_2.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.cutOff	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-4918.918066529101	-1294.8308030699247	-3624.087263459177	221.11265059134558	1802.2352946141339	923.1699868595351	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.005	0.3333333333333333	0.0015079160031459386	3.2436940641787957	-0.018686113801280057	-3624.087263459177	-166.50434389240348	-1116.5335987077356
20000	-2563.29432986114	-323.0426758900277	-2240.2516539711123	47.57634024771876	1975.7716049577607	208.72579835871252	0.2804170485077392	7.715250579539585	7.601028337390417	11.686321078860143	13.821296105006724	15.489334512643627	14.354317838515556	14.10348408910374	14.968003220707775	16.58242390085355	16.875950098260837	18.956512748901908	15.380414928824969	15.613311417805836	13.671478026407495	14.970573834261977	12.287117088773233	12.325459696156567	11.336363171774323	9.660790123573815	8.426853898492118	8.860442801696522	8.687712794415384	7.11271421867016	3.3868245290090755	6.0	10.774387355791696	9.183032399300437	0.32613588570217256	0.207760705051044	0.24645686867477806	0.21964654057200544	0.017854843946440328	0.29347201710196985	0.3888978755075488	2.2222042489849025	0.001037645154620172	0.10940517540773988	2.0382925560437107E-4	2.8884091331587287	-0.11296751337844328	-2240.2516539711123	-166.50434389240348	-142.11027789977663
40000	-2505.697512189366	-270.6691469691853	-2235.0283652201806	14.546787167347897	2008.8011580381315	48.67901788935623	1.7268911806419365	-1.4989085497431778	-1.1886318970572383	-0.9737591139105644	-0.28918656883894167	-1.5291069356051152	-0.6269349351609517	-0.5104605729265503	-0.3261134917810886	-0.22610719991376182	-0.9892351833482653	-0.8590829673040958	-0.4947049872639324	0.9552777320358699	1.1054366225418102	1.6623927160222731	1.8720917213251211	2.380609703761409	1.1991207960097456	2.4710255733818	2.195464496309302	3.4018764059384505	3.3008605954014913	1.890121619699177	1.8251303065578734	6.0	3.329908587088977	6.481242895980554	0.3415373180530517	0.19698317872888893	0.24224465179760357	0.2192348514204559	0.4067357131393869	0.2685711068894011	0.08529462322420636	2.8294107535515876	0.0035322861344163604	0.19548015816612296	7.431330189954153E-4	1.9246544300439616	0.06404286831626582	-2235.0283652201806	-166.50434389240348	-89.14125432688823
60000	-2469.3483996271107	-233.09938423498568	-2236.249015392125	6.435271119612234	2016.9126740858671	12.351984555720358	0.4914509488653637	3.888951818994797	2.276849121674732	2.174169631683661	2.6746159139741903	2.4998806111323977	1.9693583116319384	1.8105460744562905	3.6393562700584843	5.669159197082322	5.347300675343744	4.4154881192623625	3.572265576447742	5.795263212924576	5.065443968074483	3.368771233911239	1.015687282648228	3.371217229939582	3.872436847585549	5.435715684883906	2.4821701159776626	3.3889151991854662	-0.4221135221747136	-0.845700841282512	-0.43347494589410107	6.0	4.364516881194457	7.459143655424537	0.3328001324445147	0.1827726680249467	0.24781672008527283	0.2366104794452659	1.5494692471065057	0.41254669811108147	0.07332309823685217	2.853353803526298	0.003964757532362586	0.020615417331707967	0.002835949743150352	2.8836414937473176	0.5091301330444117	-2236.249015392125	-166.50434389240348	-50.10026707330152
80000	-2449.061513539763	-210.5198615733239	-2238.541651966439	5.941311866637854	2017.4066333388416	10.493999016740574	0.13241539600096439	6.108338729796628	5.630405155305995	9.213984408090631	14.713780796711522	15.117293811983677	13.078726420261507	10.97438144113478	8.010742291336598	7.243027217570107	6.0585532075239765	2.325055545421229	4.379598267486717	5.7914884716033725	7.757869568671163	9.492085701774645	7.849345507471893	6.548540987813958	6.093432558617419	4.8158849779270465	-0.10351188761698737	0.8675040963106686	-2.7496920517392027	-2.2660844022760953	-8.793223532603285	6.0	17.94012350920106	6.411682500631741	0.3467903860121188	0.2004164044529042	0.241178138012883	0.21161507152209413	1.2899891970307977	0.396610720585804	0.07998323910769121	2.8400335217846173	0.0073296645373835045	0.048678988956302835	0.0023429751576251523	2.8803753076798024	0.2655541640057059	-2238.541651966439	-166.50434389240348	-26.069885175081605
100000	-2459.804544527575	-219.28499776136385	-2240.5195467662115	6.083770232988214	2017.2641749724912	8.977340576010015	0.3534477789377186	4.416279141005621	6.5540843010976655	5.240412516713913	6.908354936639334	4.493377306863041	6.723533922577126	7.701572822290683	7.135369759733548	7.151837633394929	7.256475632851881	5.642296187622545	2.511349384960517	2.5373576429645635	-0.05647165804513887	-0.8431165574454573	-0.6576816055975634	-0.503062938328029	-0.5533365185648476	-0.5235327257662353	-0.6887943371908032	-3.524816435039638	-2.360827413666513	-1.0855785124445345	-2.2793346918796034	6.0	13.346193509787577	13.336772892257114	0.34908707658586763	0.19332229361406905	0.23158549784290122	0.22600513195716232	0.4146957553478687	0.9464158755639936	0.06819529350504257	2.8636094129899163	0.0148561351353045	0.13062678092564664	0.003952355768783539	3.03024346950517	0.6160214224186898	-2240.5195467662115	-166.50434389240348	-31.76827671812391
120000	-2404.740202120125	-167.6275348698695	-2237.1126672502555	5.766981738469674	2017.5809634670097	8.708033098385869	0.7086344685533128	3.0318402344547035	1.7861430043123159	2.1723399425341823	1.8757822709671002	0.6240693254267182	2.3522791609513547	3.1711824358553744	2.8098126401550916	3.132493301139947	2.111256866439832	1.1077083416230011	3.296568266945185	2.0386315803698123	1.1812170530764932	1.187853532543632	2.1899077522008694	1.4231322772577812	0.10563764522187406	0.29885814989487974	-1.6549187118485433	-2.703821542657075	-2.481162791639729	-4.542959610546046	-3.3914600751593174	6.0	14.070318457500614	12.073677313636857	0.34087625876402794	0.19647827520789815	0.24694519596313066	0.2157002700649435	0.8101781777499106	0.1764929478605609	0.05923255968307748	2.8815348806338426	0.013226827616730774	0.23025924773461673	0.004213548118264955	2.578747957080396	-0.0021299463923798202	-2237.1126672502555	-166.50434389240348	19.697374469933713
140000	-2380.2629009015723	-144.0226670528442	-2236.240233848728	5.7611579823929375	2017.5867872230865	6.2367722726630666	1.3659552379210242	-2.9534722376060616	-3.4442569191122843	-1.6602601102856456	-2.818144968363269	-2.4754251163514533	-2.884095085615785	-2.375595117485562	-2.611094994341593	-2.791299482457152	-1.4826249658182782	-1.2434887355880802	-1.0870979534587608	-0.7239056298171622	-0.840169165988506	-0.790168993326966	-1.7199305858172682	-1.947220556349397	-2.5833175471752843	-2.2667857813694674	-2.820992063359818	-4.303312948779656	-4.560796372605276	-4.237019084563118	-4.838703603446468	6.0	5.6707989440557425	6.240176508004783	0.35194552540807117	0.20846087257466225	0.22855918130539177	0.2110344207118751	0.07186443167427882	1.4035533271023217	0.06190290504902775	2.876194189901943	0.03242612255812804	0.213762351891348	0.00540519214673095	1.7087799881634038	0.08658989886950717	-2236.240233848728	-166.50434389240348	45.31903673187033
160000	-2407.417626804587	-172.8535376769838	-2234.5640891276034	5.839069203378704	2017.5088760021006	7.0713597896207725	2.479745896855468	-2.3059353045745694	-1.8298169307175065	-2.5856268812043965	-1.0177450803356811	-0.5867203851100874	-0.4401476398787366	0.1863013836113282	0.635427686007606	1.2817365480060365	0.9487318517822602	1.0151871461304862	-0.1724889669227149	0.18685298242197412	-1.4857328981651308	-1.702496778144899	-2.3382820922615695	-2.49987343664753	-2.213619775551602	-2.0026986784541996	-2.354153561557841	-1.5907726346252715	-2.798787585479619	-3.2574022685082467	-2.8475173011326187	6.0	12.690599900392392	6.271671847752263	0.34824826333384123	0.19920778513949494	0.23289919183982444	0.21964475968683952	0.38330518639373273	0.5323925447777088	0.08808325382048743	2.8238334923590216	0.02521106034308315	0.18855761703859455	0.005302800509147434	3.2221296387241045	0.5816346839118434	-2234.5640891276034	-166.50434389240348	16.27926316062448
180000	-2389.2127704814684	-157.6119195468883	-2231.60085093458	5.786335930107132	2017.5616092753723	6.831460481528361	6.078747050935007	-3.017160350951655	-2.5653883914455564	-2.175479653514425	-2.002241744518933	-1.7713031881143009	-1.8107014566975663	-1.6551128103966577	-1.4999756776576085	-1.560630179719666	-0.8864761933815188	-1.0040354772264783	-1.2446130559459867	-1.2950768825801287	-1.5392685762102314	-1.235739070940057	-1.4871578081406518	-2.11269606271806	-2.3298900332927257	-2.2609035368247334	-2.3751665477189894	-2.4253129055754794	-2.5640435911475943	-3.2718787286206292	-3.1632436301111277	6.0	6.052178763473494	8.315673151464475	0.3410600915799474	0.21626375074586418	0.24388524056554114	0.1987909171086474	0.3752966036605354	0.6073125506542335	0.10676060939073859	2.786478781218518	0.017734362173023634	0.2941193662099961	0.006441111116200731	3.1792499432395362	0.544650861694435	-2231.60085093458	-166.50434389240348	30.774576673436528
