tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H4N6.NA.EPI_ISL_366392.anseriformes.canada.NA.2018-08-12	H4N6	2018-08-12	2018.61	2018-08	2018	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_366391.anseriformes.canada.NA.2018-08-12	H4N6	2018-08-12	2018.61	2018-08	2018	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_366390.anseriformes.canada.NA.2018-08-12	H4N6	2018-08-12	2018.61	2018-08	2018	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328365.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328337.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328379.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328359.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328346.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328325.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328305.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328330.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328287.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
NA.NA.EPI_ISL_328309.anseriformes.canada.NA.2017-08-12	NA	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328370.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328378.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328375.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
H4N6.NA.EPI_ISL_328381.anseriformes.canada.NA.2017-08-12	H4N6	2017-08-12	2017.61	2017-08	2017	canada	60.4247452861293	-96.5129185126773	profileNA	NA	NA	anseriformes	anseriformes-wild	-114.405475342745	54.9859148218572
