tipnames	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_17086231.environment.japan.NA.2020-12-07	unknown	environment	eastern asia	34.3852029	132.4552927	profile003
H5N8.EPI_ISL_710451.Galliformes.japan.16.2020-12-05	Galliformes_domestic	Galliformes	eastern asia	34.6850869	135.8050002	profile003
H5N8.EPI_ISL_17086230.environment.japan.NA.2020-12-06	unknown	environment	eastern asia	34.6850869	135.8050002	profile003
H5N8.EPI_ISL_732933.Galliformes.japan.16.2020-12-15	Galliformes_domestic	Galliformes	eastern asia	33.5588035	133.5311675	profile003
H5N8.EPI_ISL_17086334.Galliformes.japan.NA.2020-12-12	Galliformes_domestic	Galliformes	eastern asia	33.5588035	133.5311675	profile003
H5N8.EPI_ISL_718118.Galliformes.japan.16.2020-12-10	Galliformes_domestic	Galliformes	eastern asia	34.6551456	133.9195019	profile003
H5N8.EPI_ISL_710442.Galliformes.japan.16.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_710444.Galliformes.japan.16.2020-12-01	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_17086229.environment.japan.NA.2020-12-02	unknown	environment	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_17086220.Accipitriformes.japan.NA.2020-12-08	Accipitriformes_wild	Accipitriformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_759855.Galliformes.japan.16.2020-12-22	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile003
H5N8.EPI_ISL_1009695.Anseriformes.south_korea.10.2020-11-03	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile003
H5N8.EPI_ISL_1009696.Anseriformes.south_korea.10.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868	profile003
H5N8.EPI_ISL_718115.Galliformes.japan.16.2020-12-09	Galliformes_domestic	Galliformes	eastern asia	33.2395578	131.609272	profile003
H5N8.EPI_ISL_985188.Anseriformes.south_korea.16.2020-12-10	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile003
